Filename	(E)-hex-2-enal	3-methylbutanal oxime	a-pinene	b-myrcene	(Z)-b-ocimene	(E)-b-ocimene	g-terpinene	methyl benzoate	linalool	(3E)-4,8-dimethylnona-1,3,7-triene	2-methylbenzonitrile	a-campholenal	Decanal	caprolactam	Nonanoic acid	indole	a-copaene	petasitene	trans-a-bergamotene	b-caryophyllene	trans-b-bergamotene	a-farnesene	pseudoionone	trans-Geranylgeraniol	(E)-hex-3-en-1-ol	[(E)-hex-3-enyl] acetate	[(E)-hex-3-enyl] butanoate	[(Z)-hex-3-enyl] butanoate	a-terpineol	cis-a-bergamotene	(1Z,4Z,7Z)-1,5,9,9-tetramethylcycloundeca-1,4,7-triene	(2E)-2,7-dimethylocta-2,6-dien-1-ol	benzaldehyde	D-limonene	methyl salicylate	(E)-4-oxohex-2-enal	p-mentha-1,3,8-triene	4,7-Methano-1H-indene, 2,4,5,6,7,7a-hexahydro-	cosmene	(4E,6Z)-alloocimene	Tricyclo[3.1.0.0(2,4)]hexane, 3,6-diethyl-3,6-dimethyl-, trans-	3-Furaldehyde
NEXP2Leaf_920bT1_9202022_01.qgd	11352	0	2607	0	2996	0	0	1260	0	0	1011	0	15564	21548	109070	1081	0	0	0	0	1902	0	0	0	15362	2600	0	0	0	716	0	0	43746	3820	902	11705	0	221	0	97	0	12871
NEXP2Leaf_920bT2_9202022_02.qgd	3876	0	7549	0	5843	239	0	1084	0	0	448	0	17605	47723	18063	906	0	0	0	0	2436	0	0	0	4139	1434	0	0	0	0	0	3810	19804	6500	926	4550	0	0	0	0	0	8688
NEXP2Leaf_920bT3_9202022_03.qgd	5091	0	35417	32659	3306	5119	9644	3184	0	0	394	0	337583	255250	85749	1233	0	0	0	662	16676	0	0	0	17878	11485	0	0	1461	3340	0	46996	107766	112962	9490	6009	1155	0	2085	0	816	26104
NEXP2Leaf_920bT4_9202022_04.qgd	2081	0	9422	0	6989	0	158	1408	0	341	243	708	17617	61782	24488	532	0	0	0	0	1357	0	0	0	3174	788	400	0	0	342	0	3872	20738	8453	955	1656	0	0	0	170	0	3714
NEXP2Leaf_920bT5_9202022_05.qgd	7870	0	1991	0	2308	0	0	3095	0	0	1296	0	19970	56264	27424	1632	0	0	0	0	1635	0	0	1058	11545	19747	0	0	0	0	225	0	45378	3330	2258	10521	207	0	0	317	0	0
NEXP2Leaf_920bT6_9202022_06.qgd	1509	0	5247	0	5485	0	0	647	0	0	411	0	10014	11978	3731	695	0	0	0	128	0	0	0	660	0	0	0	0	0	0	266	0	16776	7055	660	0	0	0	0	0	0	2602
NEXP2Leaf_920bT7_9202022_07.qgd	573	0	1905	0	2171	192	0	911	0	0	1059	0	8474	120686	24634	2437	0	0	0	0	0	0	0	0	0	541	0	0	0	102	0	0	22540	2948	963	663	0	0	0	0	0	0
NEXP2Leaf_920bT8_9202022_08.qgd	0	0	19661	0	30067	0	0	4660	8790	0	1961	0	65015	44192	52914	8927	315	1695	0	1253	4822	0	0	0	0	0	0	0	0	0	2857	19917	78251	37370	31412	0	400	0	0	211	523	11738
NEXP2Leaf_920bT9_9202022_09.qgd	3120	0	44279	0	100140	2029	5733	2827	24787	0	501	0	177708	16233	59072	14592	563	0	0	4503	0	0	0	0	9052	0	0	0	791	1486	2680	58352	91924	121389	30878	0	0	0	0	168	0	21704
NEXP2Leaf_920bT10_9202022_10.qgd	18436	0	10033	0	11738	0	0	1122	0	0	381	0	21232	47816	18699	1072	0	343	0	0	1460	0	0	0	10096	18866	0	0	0	123	0	0	30632	14876	780	17962	0	0	0	0	0	5648
