plantid,treatment,species,corolla_length,corolla_width,style_length,max_anther,min_anther,sepal_width,inflo_height_cm
AGG1,HIGH,AGG,28.166666666666668,4.3,27.766666666666666,27.866666666666667,24.03333333333333,1.0333333333333332,35.6
AGG10,HIGH,AGG,29.666666666666668,4.766666666666667,28.53333333333333,30.8,27.2,1.2,45.4
AGG11,LOW,AGG,29.53333333333333,4.433333333333334,25.833333333333332,28.233333333333334,26.533333333333335,1.0999999999999999,40
AGG12,LOW,AGG,29.966666666666665,3.6333333333333333,28.5,28.633333333333333,25.966666666666665,1.3666666666666667,39.1
AGG13,HIGH,AGG,33.9,4.133333333333334,29.366666666666667,34.43333333333334,30.666666666666668,0.9,56.4
AGG14,LOW,AGG,32.266666666666666,4.933333333333334,32,32.4,29.433333333333334,1,42.5
AGG15,LOW,AGG,25.133333333333333,4.066666666666666,25.933333333333334,25.8,22.666666666666668,1.5,30.2
AGG16,HIGH,AGG,23.53333333333333,4.4,24.733333333333334,23.633333333333333,20.8,0.7999999999999999,55
AGG17,HIGH,AGG,31.566666666666666,4.3999999999999995,27.766666666666666,29.4,27.8,1.1333333333333333,50.7
AGG18,LOW,AGG,25.65,3.95,26.049999999999997,26.3,23.65,1.2,47.1
AGG19,HIGH,AGG,31.96666666666667,5.566666666666666,29.6,31.866666666666667,27.1,0.8333333333333334,42.7
AGG2,HIGH,AGG,32.96666666666667,4.666666666666666,28.366666666666667,32.06666666666666,29.066666666666666,1.2,52.2
AGG20,LOW,AGG,28.933333333333334,4.333333333333333,30.233333333333334,27.5,25.166666666666668,1.0666666666666667,55.6
AGG3,HIGH,AGG,28.1,4.2,24,29.433333333333334,25.166666666666668,0.8,54.4
AGG4,HIGH,AGG,30.6,4.133333333333333,25.333333333333332,29.333333333333332,26.599999999999998,1.0666666666666667,48
AGG5,LOW,AGG,30.96666666666667,4.3,32.63333333333333,31.166666666666668,28.900000000000002,1.0666666666666667,36.1
AGG6,LOW,AGG,30.8,4.866666666666666,30.133333333333333,29.833333333333332,26.333333333333332,1.0666666666666667,41.5
AGG7,LOW,AGG,30.166666666666668,4.133333333333333,24.73333333333333,28.133333333333333,24.5,1.1666666666666665,35.1
AGG8,HIGH,AGG,28.1,4.5,30.266666666666666,28.400000000000002,23.933333333333334,1.6,46.2
AGG9,LOW,AGG,27.133333333333333,3.466666666666667,27.433333333333334,26.4,25.233333333333334,1.2666666666666666,32.8
TEN1,LOW,TEN,NA,NA,NA,NA,NA,NA,34
TEN10,HIGH,TEN,37.63333333333333,3.6333333333333333,28.333333333333336,33.03333333333333,30.933333333333334,0.9,28.7
TEN11,LOW,TEN,34.6,3.6,23.9,29.133333333333333,28.733333333333334,0.9666666666666667,34.6
TEN12,HIGH,TEN,35.7,3.6,28,29.866666666666667,29.1,0.8666666666666667,39.5
TEN13,HIGH,TEN,36.666666666666664,3.5,27.2,32.9,30.833333333333332,0.8666666666666667,39.6
TEN14,HIGH,TEN,33.9,3.8,25.6,30.8,29.866666666666667,1.0333333333333334,33
TEN15,LOW,TEN,35.125,3.45,25.925,30.45,29.275,0.85,39.2
TEN16,LOW,TEN,37.333333333333336,3.5666666666666664,24.53333333333333,32.266666666666666,30.633333333333333,0.8333333333333334,41.6
TEN17,LOW,TEN,31.6,2.6,24.3,27.133333333333333,25.633333333333333,0.9,32.6
TEN18,LOW,TEN,36.03333333333333,3.7333333333333334,26.533333333333335,28.633333333333333,29.233333333333334,1.0666666666666667,30.9
TEN19,LOW,TEN,37.733333333333334,3.8000000000000003,26.433333333333334,32.233333333333334,28.9,0.9,44.9
TEN2,LOW,TEN,36.46666666666667,4.2,24.066666666666666,30.4,28.133333333333333,1.1333333333333333,42.6
TEN20,LOW,TEN,31.733333333333334,3.8666666666666667,23.3,28.266666666666666,26.900000000000002,1.0666666666666667,37
TEN3,HIGH,TEN,31.333333333333332,3.3666666666666667,23.966666666666665,27.733333333333334,27.133333333333333,0.9666666666666667,33.4
TEN4,LOW,TEN,33.7,3.6333333333333333,25.233333333333334,27.766666666666666,26.666666666666668,0.6333333333333333,34.1
TEN5,LOW,TEN,27.366666666666667,3.2666666666666666,23.96666666666667,23.9,23.066666666666666,0.9,32.7
TEN6,HIGH,TEN,34.96666666666667,3.1333333333333333,22.633333333333333,30.333333333333336,29.4,1.0333333333333334,27.2
TEN7,HIGH,TEN,34.86666666666667,3.7666666666666666,28.400000000000002,29.2,28.133333333333333,1.3,30.5
TEN8,HIGH,TEN,34.85,3.4,27.35,28.9,27.200000000000003,0.6,40.3
TEN9,HIGH,TEN,42.3,4.033333333333333,31.666666666666668,37.833333333333336,36.8,0.8333333333333333,53.4
