Filename	(E)-hex-2-enal	3-methylbutanal oxime	a-pinene	b-myrcene	(Z)-b-ocimene	(E)-b-ocimene	g-terpinene	methyl benzoate	linalool	(3E)-4,8-dimethylnona-1,3,7-triene	2-methylbenzonitrile	a-campholenal	Decanal	caprolactam	Nonanoic acid	indole	a-copaene	petasitene	trans-a-bergamotene	b-caryophyllene	trans-b-bergamotene	a-farnesene	pseudoionone	trans-Geranylgeraniol	(E)-hex-3-en-1-ol	[(E)-hex-3-enyl] acetate	[(E)-hex-3-enyl] butanoate	[(Z)-hex-3-enyl] butanoate	a-terpineol	cis-a-bergamotene	(1Z,4Z,7Z)-1,5,9,9-tetramethylcycloundeca-1,4,7-triene	benzaldehyde	D-limonene	methyl salicylate	(E)-4-oxohex-2-enal	p-mentha-1,3,8-triene	4,7-Methano-1H-indene, 2,4,5,6,7,7a-hexahydro-	cosmene	(4E,6Z)-alloocimene	Tricyclo[3.1.0.0(2,4)]hexane, 3,6-diethyl-3,6-dimethyl-, trans-	3-Furaldehyde	1,4-Cyclohexadiene, 3-ethenyl-1,2-dimethyl-	2-Decanone	Benzamide	Benzenebutanoic acid, .gamma.-oxo-	2,6-Octadienal, 3,7-dimethyl-, (E)-	1,2,3-Propanetriol, 1-acetate	pentan-1-ol
Ihyb_503A_N_220727_812022_01.qgd	7649	0	126661	71492	150697	1937742	2823	1682	7822	821	266	0	17241	85817	27953	801	1653	1161	23148	16142	52369	1283512	0	0	5131	1509	0	399	807	0	4941	21736	10325	5174	7445	10513	3472	2864	26144	16662	4832	3164	3170	0	15235	0	27760	0
Ihyb_506A_N_220711_822022_18.qgd	17654	0	1282622	216858	107526	774788	5254	6506	31927	0	2280	1528	43332	336509	78009	1985	690	0	29932	196665	35964	524617	7448	4663	103441	15479	14357	14137	3489	0	42418	106268	198841	17423	20333	22578	12643	24262	24267	30661	13237	7090	6331	23108	40892	0	37490	2687
Ihyb_506A_N_220727_812022_02.qgd	684	0	299294	93287	202778	2530625	3857	758	7532	0	498	0	15827	35827	29644	1409	0	505	6176	4880	16676	366164	0	0	0	5043	2642	0	0	0	0	28772	9620	1530	588	15172	5953	4083	36595	7073	7023	4623	4374	9372	33662	0	22408	0
Ihyb_509B_N_220727_812022_08.qgd	0	0	23052	26248	56275	702429	947	2264	1983	1031	463	0	21836	22452	19384	0	0	0	932	241	2089	38731	23449	0	229	0	375	0	283	0	0	19057	1883	1089	217	2753	592	931	4907	0	9408	687	1827	1301	12046	0	44740	0
Ihyb_509C_N_220727_812022_07.qgd	0	0	162436	75439	149257	1854618	2819	4787	4391	3598	1086	0	32680	111819	139856	2488	0	0	0	0	11525	131087	0	0	0	0	0	0	0	0	0	78390	6090	3222	786	16154	7773	4024	31533	4857	22744	4949	14512	20444	78697	0	46246	0
Ihyb_512B_N_220727_812022_11.qgd	2615	0	67900	0	14506	177264	0	1908	0	1272	1678	0	53509	50925	101945	457	338	0	1282	2060	6238	93268	0	0	0	4591	0	0	0	516	0	81833	9721	2679	1386	1872	0	2760	3036	0	20418	707	7475	8760	12609	0	51422	0
Ihyb_525A_N_220727_812022_04.qgd	2954	0	134805	101737	184209	2137426	3987	1408	4343	0	1660	0	74150	158991	88386	2601	1623	0	12442	11326	44407	757313	0	0	0	5403	2080	0	0	2089	0	49215	13050	6542	9211	8833	3332	2503	33051	0	14292	3857	7074	13010	8686	0	39389	0
Ihyb_530_D_220712_822022_14.qgd	0	0	23706	0	26034	170179	0	3248	0	1395	2643	0	54642	32399	199250	3220	0	0	4195	0	2326	68124	0	0	0	0	0	2327	0	1590	0	127996	6746	1878	0	4669	2452	10562	6037	6677	14426	1217	14505	40403	74923	0	44455	0
Ihyb_530A_N_220711_822022_26.qgd	19399	0	619438	314273	178721	1853212	9444	8365	95020	0	3463	0	164943	177772	498735	5675	33252	0	0	339221	64728	1983931	0	0	6559	30207	31995	6749	9585	0	119087	219150	279648	72496	35523	32061	22415	15562	34095	86253	32016	8265	9915	49461	138361	16876	47160	0
Ihyb_530A_N_220727_7292022_02.qgd	3555	0	851943	126918	240656	2362470	3768	5245	0	12959	2511	514	68494	0	1614875	3780	0	0	0	8318	0	152342	0	0	5372	5725	0	0	0	0	0	180332	21937	4921	0	25291	12320	9903	36798	1681	21734	0	17212	82160	327337	0	51991	0
Ihyb_530B_N_220727_7292022_10.qgd	4204	2408	244096	196080	325650	3460161	6358	1250	33236	11215	1384	0	41177	801030	88919	6097	9687	440	73726	96256	139167	3097206	0	11141	1161	11492	76858	0	3415	0	23084	47639	56855	8933	1746	22440	9859	5834	49129	59361	18091	6745	7619	12743	23896	0	42251	0
