Filename	(E)-hex-2-enal	3-methylbutanal oxime	a-pinene	b-myrcene	(Z)-b-ocimene	(E)-b-ocimene	g-terpinene	methyl benzoate	linalool	(3E)-4,8-dimethylnona-1,3,7-triene	2-methylbenzonitrile	a-campholenal	Decanal	caprolactam	Nonanoic acid	indole	a-copaene	petasitene	trans-a-bergamotene	b-caryophyllene	trans-b-bergamotene	a-farnesene	pseudoionone	trans-Geranylgeraniol	(E)-hex-3-en-1-ol	[(E)-hex-3-enyl] acetate	[(E)-hex-3-enyl] butanoate	[(Z)-hex-3-enyl] butanoate	a-terpineol	cis-a-bergamotene	(1Z,4Z,7Z)-1,5,9,9-tetramethylcycloundeca-1,4,7-triene	benzaldehyde	D-limonene	methyl salicylate	(E)-4-oxohex-2-enal	p-mentha-1,3,8-triene	4,7-Methano-1H-indene, 2,4,5,6,7,7a-hexahydro-	cosmene	(4E,6Z)-alloocimene	Tricyclo[3.1.0.0(2,4)]hexane, 3,6-diethyl-3,6-dimethyl-, trans-	3-Furaldehyde	1,4-Cyclohexadiene, 3-ethenyl-1,2-dimethyl-	2-Decanone	Benzamide	Benzenebutanoic acid, .gamma.-oxo-	2,6-Octadienal, 3,7-dimethyl-, (E)-	1,2,3-Propanetriol, 1-acetate	pentan-1-ol
Ihyb_729B_N_220727_812022_10.qgd	0	0	188895	106737	243172	2815926	4231	1356	4785	2665	2913	0	30643	72207	76625	758	0	0	7511	0	22858	343188	0	0	0	0	0	0	0	0	0	70788	5797	772	0	19094	6702	3627	36100	10074	8779	5341	4422	30987	25441	2562	53995	0
Ihyb_731_D_220712_822022_04.qgd	0	0	27310	0	3649	14367	455	2929	0	0	1653	0	34674	201913	169253	1418	0	0	4139	0	0	0	0	0	0	2119	0	0	0	1041	0	135487	3913	2661	3890	2643	941	4944	596	0	7299	0	12678	20071	104694	0	27995	0
Ihyb_731_D_220727_812022_20.qgd	0	0	48804	0	5939	30010	0	8881	0	0	3815	0	43797	1227903	249958	3951	0	0	0	0	2238	24497	0	0	0	0	0	0	0	1549	0	194116	17826	3129	0	0	0	822	874	0	18690	0	26948	58744	49438	0	65840	0
Ihyb_731A_N_220711_842022_11.qgd	5721	0	413279	81412	270083	1235505	2545	5750	0	0	2914	0	50755	62308	128929	2754	0	0	12929	0	12926	110333	0	0	1598	0	0	19834	0	0	0	118970	14486	2812	17377	22721	6954	23507	67684	19323	19090	9349	12545	19596	29608	0	44950	0
Ihyb_731B_N_220727_812022_06.qgd	4544	0	421100	34982	52919	649738	843	3309	0	0	1261	0	88276	69626	237646	2485	683	0	1665	1399	6740	90003	0	0	7303	8929	3649	0	0	0	0	125503	27837	6588	0	5945	0	7256	11638	0	25441	2112	9821	11976	75566	0	45930	0
Ihyb_732_D_220712_822022_13.qgd	0	0	591573	0	1049	0	0	4384	0	3247	2688	0	34213	51915	255976	981	1904	0	0	10046	0	0	0	10422	0	0	3549	0	0	0	0	170755	10675	2122	0	0	0	0	180	0	9954	0	21290	38907	108365	0	37183	0
Ihyb_732A_N_220711_822022_25.qgd	12537	0	1040006	103683	147167	838322	4363	7035	25600	0	3046	0	119999	247417	710382	7279	25244	0	36366	191268	24155	338872	7106	0	61880	17048	112244	0	5939	5430	40813	127291	101488	23469	17244	29324	11498	33279	26342	33103	11427	9413	12151	39239	63644	0	64017	0
Ihyb_732A_N_220727_7292022_01.qgd	2363	0	1164011	121782	200377	2235666	4234	2413	4361	3878	2204	0	20477	18442	134409	2472	1511	194	2142	11770	8595	105972	0	0	3618	4472	12187	0	0	459	2205	68272	28681	1388	0	17333	9515	4294	35433	3466	12976	5324	5240	20578	31546	0	50631	0
Ihyb_732B_N_220727_7292022_09.qgd	2412	0	729325	75571	117092	1352802	2065	2697	0	21694	3192	0	22247	36470	136464	3854	4081	957	4577	29920	11328	153283	0	0	0	7549	0	0	0	0	6234	66682	24118	881	0	9954	5518	2407	21391	5345	14442	3223	11634	69759	29922	0	53354	0
Ihyb_737_D_220712_822022_12.qgd	1231	0	391124	6381	1037	1774	0	3552	0	4167	2530	17127	40781	33402	240330	4727	2479	0	0	11177	4168	0	0	0	0	981	2180	0	0	3838	0	113574	10465	3665	887	413	0	0	210	0	13372	0	9843	41531	52207	0	50045	0
Ihyb_797_D_220712_822022_10.qgd	4663	0	43	4815	3627	0	0	1883	0	906	1197	528	27595	76305	106121	1375	1506	0	9495	19038	3630	20215	0	0	10022	8268	4794	0	0	9182	3693	88310	7761	1952	5394	0	0	2856	375	7197	7534	0	4701	11813	34496	0	46028	1157
Ihyb_797_D_220728_812022_04.qgd	9758	2723	1582131	41355	2206	6607	0	2508	7287	7776	806	0	26039	151873	48389	835	4317	0	0	59463	0	0	0	0	32517	20542	21952	0	0	27592	13811	82329	75633	5042	4481	835	0	1653	217	465	13367	2543	6073	7738	8168	0	48129	5019
Ihyb_797A_N_220711_822022_22.qgd	6273	0	347821	320487	474517	5272702	9148	3255	24826	0	1607	0	57880	762402	280938	1612	3291	0	19185	40758	76622	970542	0	0	543	0	31269	0	0	0	9202	94548	84840	9236	6153	63164	19186	66104	98441	29759	14694	17047	13992	25586	46420	6745	92358	0
Ihyb_797A_N_220727_7292022_03.qgd	8354	0	473886	79575	44680	526014	3296	4362	10954	15866	1781	0	41638	251467	68591	2006	4587	0	2273	18286	4740	148026	0	0	1249	19978	16579	13465	2147	2822	3675	45355	60223	8708	2319	4851	0	5124	8788	2948	13236	2173	5574	11122	12568	0	50029	1952
Ihyb_797B_N_220711_822022_16.qgd	1948	0	435331	68137	113825	778367	1634	13033	8722	0	4907	3732	44756	124838	181184	9765	0	0	0	29085	20596	189629	0	0	0	3494	33279	0	0	0	4253	174719	37098	7150	2590	20199	5222	24591	18619	14099	17294	7065	19790	31777	46489	0	42060	0
Ihyb_797B_N_220727_812022_14.qgd	923	0	374128	36430	59988	653411	1002	3959	0	2722	1772	0	34755	29032	92825	2752	0	0	0	1419	1450	7133	0	0	0	3222	0	0	0	1633	0	77083	13686	3980	0	6720	3358	2000	10971	0	16506	2092	4654	19456	31964	0	59950	0
Ihyb_798_D_220712_822022_08.qgd	1198	0	301814	4836	2251	6426	0	5124	0	897	1124	0	18210	40199	86869	1278	543	0	2585	1450	1736	4728	0	0	9215	2865	2979	0	0	0	1837	112092	6628	2199	2873	0	0	1594	352	1366	9999	327	7885	12893	20072	0	35594	0
Ihyb_798_D_220728_812022_07.qgd	0	0	98373	0	8345	0	395	12694	0	3371	3682	0	97133	775795	277038	2286	0	0	0	0	26373	0	0	0	0	0	0	0	0	0	0	212161	7644	6727	0	936	0	0	0	0	17819	0	27415	111854	114325	0	75075	0
Ihyb_798A_N_220711_822022_23.qgd	4460	0	295933	104568	246969	1864627	2873	7859	21597	11041	2628	0	58596	603695	281196	22478	16064	0	37112	9518	58786	893000	0	11118	865	5691	0	0	0	65809	3815	151612	23973	6400	23509	39934	11947	42632	49733	40017	18599	12611	15748	24952	68136	25212	45946	0
Ihyb_798A_N_220727_7292022_04.qgd	1223	3231	289179	172871	337363	3384731	6398	1247	24392	1141	1605	0	47409	473746	62472	1874	0	0	38417	20663	92162	1767976	0	4981	63898	10677	16052	13299	0	0	4154	56879	21247	5307	0	21108	9104	5023	52735	44605	17422	5984	0	13829	17087	9031	49141	1482
Ihyb_798B_N_220711_822022_17.qgd	22466	0	982845	507391	312312	3499620	6610	3899	34760	29977	3258	0	41134	681691	93360	2058	9249	0	25293	664890	54223	884780	0	0	295443	370006	69773	0	41551	12170	232223	77373	329785	24394	40713	48672	30680	50298	73667	26635	11618	16099	8477	15524	34584	0	48256	2829
Ihyb_798B_N_220727_812022_15.qgd	0	0	63413	168289	376223	4433725	7397	6233	45017	0	1851	0	101917	241394	364552	15518	0	0	52459	1484	171697	3020113	0	103991	0	7178	0	0	0	0	0	153284	17020	5091	0	39798	14218	8349	93434	97179	33984	11965	10775	29083	51373	0	205279	0
Ihyb_799A_N_220711_822022_20.qgd	6276	0	697088	114183	174318	2013401	0	35180	26732	0	3892	0	124097	646490	1279410	7002	44410	17375	34960	0	100748	1498622	0	0	95677	24463	12692	0	0	23907	0	197613	53856	11281	10269	26257	7915	26815	29144	40632	20011	9710	24378	52907	265070	39685	66410	4950
Ihyb_799A_N_220727_812022_03.qgd	379	0	31060	0	3504	34783	0	1511	0	0	1562	0	24986	51751	59755	2130	0	0	992	0	2408	42266	29723	0	0	0	0	0	0	2700	0	46998	3412	1641	938	0	0	0	591	0	11451	1173	4758	16832	29167	0	34572	0
Ihyb_799B_N_220727_812022_09.qgd	1609	0	179986	0	7725	78690	0	4555	0	0	2650	0	119179	90709	191158	3536	0	0	2946	0	12890	152357	0	0	0	2644	2099	0	0	2063	0	96955	11210	4939	0	1472	0	2812	1388	0	47573	0	0	9948	31003	0	118729	0
Ihyb_AIR2JP_D_220712_842022_05.qgd	596	0	7095	0	2606	0	187	3255	0	1653	1923	0	58728	61542	159590	1865	0	0	0	376	5131	0	0	0	307	3406	0	0	0	0	0	173077	3225	1499	1415	0	0	0	0	366	17266	0	6942	23117	79337	0	34851	0
Ihyb_AIR3JP_D_220712_842022_09.qgd	2260	0	66431	0	3120	0	3991	10250	0	8924	3721	0	112100	92545	350711	5359	0	0	0	5623	8765	0	120089	0	0	6193	0	0	3066	1518	0	252002	15828	3314	0	1124	0	0	0	0	43286	0	32846	43338	120963	0	36177	0
Ihyb_AIR4JP_D_220712_842022_10.qgd	2067	0	7425	0	3295	0	1213	1210	0	0	2311	0	70844	262888	86562	421	0	0	0	0	4073	0	0	0	0	39841	6389	0	0	0	0	92822	8500	1897	15031	0	0	0	257	0	10766	1110	7929	18611	21615	0	48462	0
Ihyb_AIR5JP_D_220712_842022_03.qgd	2040	0	6617	0	3927	0	189	2533	0	0	1966	0	50203	160066	1035788	890	0	0	0	0	3931	0	0	0	10533	39330	0	0	0	0	446	192400	7596	2253	9224	0	0	0	0	0	11952	583	7324	32837	120649	0	41762	0
Ihyb_AIRAA_D_220712_842022_12.qgd	11654	0	8953	28389	870	0	0	4479	0	3005	2608	0	125662	1073340	210080	3606	13520	0	0	857	24892	0	0	0	57095	270659	18367	0	1674	0	0	173079	23263	7849	144441	0	0	0	276	0	8464	0	12551	35796	50014	0	54146	0
Ihyb_AIRAA_N_220727_812022_08.qgd	4849	0	23008	0	3199	14611	0	8683	0	0	1449	0	87212	31449	332084	1868	233	0	0	568	5584	0	29429	0	644	12796	1014	0	0	0	0	121551	22525	8268	0	614	0	2079	552	0	31109	0	11360	18678	13810	0	69415	0
Ihyb_AIRADH_N_220711_842022_01.qgd	4076	0	24637	0	1040	686	0	3634	0	1691	2715	0	89123	734116	123080	3387	499	378	0	0	5767	0	30185	3479	13151	22312	2883	0	992	0	0	133983	4920	7132	47897	0	0	0	0	0	14028	0	13438	12065	8541	0	41390	0
Ihyb_AIRDH_N_220711_842022_13.qgd	0	0	3157	0	1734	565	0	1201	0	574	1663	0	37195	40066	77669	1794	106	0	0	0	2540	0	0	0	0	708	0	0	0	0	0	42742	1819	1946	862	0	0	0	0	0	11106	0	6380	11869	12439	0	45673	0
Ihyb_AIRDH_N_220727_812022_12.qgd	1085	0	10043	0	3251	3251	0	1623	0	1485	1685	0	42786	96134	77450	1471	0	344	0	221	20953	0	0	0	466	1506	512	0	0	556	0	64172	4569	4662	0	0	0	0	0	0	15790	0	5950	11733	27833	0	51893	0
Ihyb_AIRDH_N_220727_812022_15.qgd	586	0	15428	3711	901	6399	0	973	0	638	883	0	40701	273396	121540	1393	323	0	0	715	4442	0	0	0	0	2456	0	0	0	658	0	38318	4309	1751	1197	367	0	1236	0	0	10083	1446	4545	14957	34073	0	64435	0
Ihyb_AIRDHB_D_220712_822022_02.qgd	0	0	36844	0	1132	0	369	2447	0	2095	1559	0	57928	74488	148684	2332	0	0	0	0	4761	0	31294	3094	173	2816	0	0	0	1625	0	163425	3633	1780	2582	0	0	563	0	0	10287	0	4771	24481	78519	0	28485	0
Ihyb_AIRJP_D_220712_842022_14.qgd	0	0	0	0	139	0	0	0	132	0	0	0	0	0	139	192	0	0	0	0	0	0	0	165	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	102	0	150	0
Ihyb_AIRJP_N_220711_842022_08.qgd	1592	0	12786	11876	1998	0	0	7324	0	0	3377	0	33017	174353	166915	2477	0	0	0	0	1392	0	0	0	0	6600	0	0	0	1086	0	125262	15611	2001	9058	0	0	0	0	0	21913	0	11459	29998	82431	0	49551	0
Ihyb_AIRJP_N_220727_812022_18.qgd	0	0	14817	0	1220	1427	0	2862	0	0	1155	0	61953	47348	146809	1707	314	125	0	0	1245	0	0	0	0	5233	0	0	0	1280	0	113868	945	4481	0	0	0	0	110	0	24008	0	8105	27146	50953	0	53296	0
Ihyb_AIRJPredo_D_220712_852022_14.qgd	0	0	70085	24582	35626	404087	3357	1039	0	785	1304	0	46212	77909	86925	1749	1300	7864	1684	3405	4388	25927	0	0	0	2628	4422	0	604	1329	1709	53381	13958	1816	1754	5830	2354	1842	7169	0	12035	2193	5930	8857	47362	0	46228	0
Ihyb_NOIDJP_D_220712_822022_09.qgd	6149	0	938858	13091	3261	0	0	5947	0	4046	2491	1252	34668	0	0	2725	0	0	0	14303	0	0	0	0	11912	12094	0	0	0	0	0	227181	19974	4057	8856	0	0	0	301	2069	14992	0	13688	126484	408493	0	64643	840
Ihyb_T1_N_220727_822022_01.qgd	0	3115	73144	9015	9047	44843	0	1418	0	1126	926	0	28534	208052	36419	980	693	0	503	2417	4029	0	14597	0	0	4196	0	0	0	0	321	60742	13868	5273	2997	849	0	1376	1149	492	11300	446	6076	0	6585	0	59846	0
Ihyb_T2_N_220727_822022_02.qgd	0	0	47630	0	2818	6537	0	1899	0	0	893	0	44526	126743	32015	1152	323	0	0	199	0	0	16257	0	4609	5518	0	0	0	719	277	102755	13584	2753	0	659	0	1188	168	0	17378	1516	4354	2739	6500	0	37978	0
Ihyb_T3_N_220727_822022_03.qgd	0	0	57976	0	548	3351	0	997	0	902	1285	0	27394	37957	269770	1262	0	525	0	0	1689	222	9395	0	0	0	0	0	0	508	0	56795	5151	3133	0	0	0	151	0	479	15235	0	6674	15873	14828	0	46916	580
Ihyb_T4_N_220727_822022_04.qgd	0	0	49596	0	2623	12097	0	966	0	838	570	0	21524	27417	23112	505	0	0	3535	844	1288	14061	0	0	2765	1951	1305	0	0	0	0	36687	4034	3324	322	326	0	627	121	0	8541	0	4942	1630	2955	0	46176	643
Ihyb_T5_N_220727_822022_05.qgd	0	0	7406	0	2652	8856	0	605	0	441	1284	0	18559	29520	32400	1406	0	0	0	0	405	0	6210	0	0	0	0	0	0	0	259	30690	1466	610	0	0	0	0	156	0	5914	570	2745	2608	2027	0	45869	0
Ihyb_T6_N_220727_822022_06.qgd	0	0	41140	0	15006	0	0	4523	0	0	1749	0	66029	89851	737822	2641	0	0	0	0	0	0	0	0	0	6834	0	0	0	0	0	170730	15510	5001	0	0	0	0	0	732	22305	0	11016	29128	74477	0	43228	0
Ihyb_T7_N_220727_822022_07.qgd	0	0	10774	0	1114	0	0	4440	0	2437	1108	0	30177	217096	54203	1564	0	0	0	0	0	0	0	0	0	2224	640	0	0	1124	0	74926	9927	3904	0	256	0	0	0	346	12030	0	12350	10523	11807	0	42644	0
Ihyb_T8_D_220712_822022_08.qgd	5935	0	496927	46325	6504	650	590	3149	0	7024	693	0	17605	119826	43069	689	3019	0	33987	107076	10321	106215	9066	1148	696	29454	1010	4217	0	0	29730	84847	48625	2486	7286	1383	947	2232	597	11526	5336	467	0	4244	7079	0	44346	3926
Ihyb_T9_D_220712_822022_09.qgd	0	0	18408	0	2315	0	0	2599	0	0	952	0	38197	482368	79408	881	0	0	0	1197	0	0	0	0	2188	3618	629	0	0	0	0	124377	2867	3086	3666	198	0	0	0	0	9483	0	8341	8286	8322	0	60705	0
Ihyb_T10_D_220712_822022_10.qgd	5022	0	182982	29193	4133	10517	3140	1378	0	1422	733	197	100306	126447	53704	523	849	0	785	1474	2896	516	0	932	9964	7016	1928	0	839	1194	0	106290	35331	4707	4653	630	0	836	324	0	21371	1519	0	3119	4675	3436	51389	884
Ihyb_T11_D_220712_822022_11.qgd	962	0	13680	0	1422	6006	236	1534	0	879	831	0	19774	136903	69210	855	0	0	0	1343	0	0	0	1086	0	1765	515	0	368	0	0	93920	1903	2144	3541	228	0	1096	180	0	13307	161	5156	2941	15088	0	55450	0
Ihyb_T12_D_220712_822022_12.qgd	2310	0	32762	0	3316	1296	0	4072	0	1915	1762	0	76332	720726	251108	2458	0	591	15292	0	4110	51529	0	0	0	5648	0	0	0	3547	0	184915	4133	4331	6904	480	0	0	500	11094	10848	0	14140	25763	54394	0	48076	0
Ihyb_T14_D_220712_822022_14.qgd	5094	0	80466	27463	2355	0	0	3127	0	1658	2005	53769	106264	250159	105426	2722	825	0	0	0	4996	0	0	0	540	12373	0	0	1125	1987	0	199360	36371	7585	15862	0	0	0	241	0	23479	0	8854	14308	24815	0	43525	0
Ihyb_T15_D_220712_822022_15.qgd	1657	0	10140	4592	11339	30794	0	6464	0	0	910	0	39888	201626	85107	932	551	0	3077	0	2434	10959	0	0	3815	4219	667	614	0	2641	0	64523	2314	2464	3283	1691	0	2276	1237	2063	5832	504	3348	10878	13276	0	52094	468
Ihyb_T16_D_220712_822022_16.qgd	8532	0	179669	66936	3765	12293	5210	3305	0	20130	1561	608	157895	210050	63178	1180	6906	0	9936	213843	5037	21064	7981	0	170461	101443	0	3164	2956	1613	67090	179122	98426	12826	35024	1079	0	2241	455	5235	25110	3248	0	4304	15975	0	65835	1947
Ihyb_T17_D_220712_822022_17.qgd	0	0	7075	0	225	809	0	1065	0	0	782	165	11592	24481	74510	674	0	0	0	1827	0	0	0	0	0	490	0	0	0	0	0	36757	738	600	635	0	0	0	0	0	9418	1392	4243	7250	5256	0	60152	0
Ihyb_T18_D_220712_822022_18.qgd	1067	0	137014	0	5096	17147	0	3093	5776	0	2477	0	41741	103547	169273	3302	0	0	10246	10149	0	37218	0	0	0	5011	0	0	0	0	2841	125010	6832	3547	6108	284	0	0	1074	18638	14717	0	10055	39431	40162	0	39030	0
Ihyb_T19_D_220712_822022_19.qgd	1517	0	36721	5188	7369	24325	0	5818	0	835	1708	0	51744	108907	130149	2327	2630	11636	13757	2996	6043	46529	0	0	0	3912	2385	956	0	473	0	142161	6140	3239	2199	0	0	0	1148	13043	6120	0	12435	37754	63633	0	39844	1718
Ihyb_T20_D_220712_822022_20.qgd	1398	0	223910	6786	1280	2061	1292	2724	9800	0	1995	0	22309	116579	78959	1830	2656	0	1529	20150	1728	0	0	0	330	18025	6150	1335	3271	0	7283	93523	11840	12279	4394	0	0	0	192	0	5950	0	5695	8857	29543	0	54910	578
Ihyb_T26__220721_7282022_26.qgd	0	0	188500	4780	5637	65929	0	2990	0	2289	2272	0	22892	24678	112402	925	0	0	0	4441	0	22098	0	0	0	0	0	0	0	0	1794	82661	6490	767	0	841	597	0	910	0	12613	214	7948	31392	39240	0	56595	0
Ihyb_T27__220722_7282022_27.qgd	871	0	182172	9358	13521	127322	0	3748	0	1838	1962	0	37094	48805	1392885	2162	0	0	0	577	0	26320	0	0	0	0	0	0	0	0	0	112536	6715	2379	938	2520	1315	5270	1752	1805	13212	0	9774	70837	291689	1720	54031	0
Ihyb_T28__220723_7282022_28.qgd	4672	0	90459	157105	355578	3513133	6609	2365	11293	3098	1214	0	68103	168330	158652	1763	0	0	18797	3509	54350	866740	0	0	7359	7763	0	0	0	957	0	106740	19396	4124	0	31309	13936	8671	66281	29119	28770	9299	7540	25941	30794	0	52398	0
Ihyb_T29__220724_7282022_29.qgd	1326	0	922	36118	78274	988293	1136	3374	14150	3259	897	0	65060	463957	40766	1266	2106	19012	36900	0	66042	1637090	11925	0	981	11036	12324	0	11645	0	0	42728	27703	8386	2286	5883	0	5729	6822	30952	18887	1595	3646	5334	5651	0	57860	0
Ihyb_T30__220725_7282022_30.qgd	2483	0	66460	12946	25744	307907	0	2465	0	1083	1865	0	53297	48777	181824	4101	0	0	4234	875	12111	191270	0	0	4037	5222	0	0	0	1125	0	97510	11132	5492	0	2836	0	1380	4505	6821	13426	842	8309	29074	55230	0	48432	0
Ihyb_T31__220726_7282022_31.qgd	0	0	71081	68730	163717	1847464	3237	2740	5739	1601	1155	0	42430	60636	116631	2665	738	0	5155	827	18647	260521	0	0	0	0	0	0	0	415	0	42493	5511	6642	0	11730	4351	3170	22259	0	21923	3836	6552	18985	39451	0	54857	0
Ihyb_T32__220727_7282022_32.qgd	2352	0	1443635	106277	166584	2009250	3314	2692	6661	3301	1467	275	22295	29790	113882	2693	0	0	9460	1550	28044	462994	0	0	13380	2981	9046	2352	0	888	0	47983	32393	5957	1040	21669	12437	5818	33138	14770	13241	5921	5208	17151	38157	2202	45116	0
Lagg_76_D_220721_7282022_01.qgd	0	0	348904	0	4150	0	0	1195	0	1223	625	0	21737	22485	140336	2167	0	412	0	2284	0	0	0	0	3505	809	0	0	0	0	447	78948	4746	716	2183	0	0	0	0	0	7646	479	3700	10154	30913	0	67518	723
Lagg_76_N_220721_7262022_23.qgd	1716	0	30184	11325	2830	22929	0	1640	0	0	2559	2768	37083	27607	152273	532	0	0	0	266	2227	0	0	0	0	4238	0	0	0	0	0	77961	12310	2318	1099	0	0	0	549	223	14023	0	5854	29303	43131	0	54170	0
Lagg_280_D_220721_7252022_04.qgd	2267	0	48199	14714	2088	0	0	3401	0	2486	1423	4269	37202	38143	228169	964	0	3119	0	1686	0	0	51180	0	0	11955	1302	0	0	1167	0	119801	16477	2271	2690	772	0	0	453	0	42738	0	11039	25480	77559	0	65108	0
Lagg_281_D_220721_7262022_04.qgd	11389	0	343534	71381	6907	17434	0	4046	0	3772	1993	6427	44960	134591	171514	3022	14836	0	0	0	946	0	0	0	25793	27439	5486	11689	0	49672	0	143345	108260	4300	12232	0	0	0	1422	0	42670	0	13346	27332	41971	0	47707	1971
Lagg_281_N_220721_7252022_02.qgd	18645	0	367327	208264	156964	1645998	2312	1582	19247	10950	2262	0	67631	173009	118887	7020	13750	0	34353	0	76739	2023601	52409	11788	32850	67505	8337	2207	4073	51143	0	90515	132233	9943	18501	7620	0	3330	17535	27305	22731	2898	8174	6906	7389	0	66135	0
Lagg_283_D_220721_7262022_02.qgd	1985	0	43683	0	944	0	0	1447	0	0	1580	290	49460	347282	157070	3004	1500	0	0	2705	1141	0	24770	0	10130	9113	3769	0	626	0	422	127503	10410	3846	5328	0	0	0	174	0	10066	0	8755	29807	23545	0	45284	0
Lagg_283_N_220721_7272022_15.qgd	2359	0	105408	59090	133698	1560885	2234	2331	7821	2011	1550	0	43264	148542	161836	3511	0	0	26433	6066	67670	1420253	0	0	17629	18553	4916	0	0	0	0	73365	11000	3946	2524	16520	4705	5515	16822	27090	17594	4831	8459	15190	25876	0	85598	0
Lagg_293_N_220721_7262022_05.qgd	3607	0	531430	70692	100334	1237729	1568	1621	0	9745	1550	0	31639	71270	97020	2388	0	0	5612	49017	15689	255866	32244	0	0	3561	7529	0	0	842	13422	62467	37248	2552	4774	12054	7353	4203	20024	7925	17039	3289	7672	46040	28865	0	59586	0
Lagg_293_N_220721_7282022_22.qgd	0	0	52708	26849	58494	764009	1121	1248	2196	979	332	0	22566	55488	51404	769	0	0	0	0	2312	25855	0	0	0	0	0	0	0	378	0	20055	5157	4066	1429	6432	1422	2245	5235	0	7284	2296	2672	3734	10634	0	46368	983
Lagg_297_D_220721_7262022_14.qgd	53508	0	1122383	200375	6718	8944	8329	2680	11665	16801	2294	2769	38063	575770	51396	924	2077	0	1202	244725	12744	0	15567	0	420187	164710	59073	0	2201	0	43619	81029	365312	4262	65908	4065	0	3723	658	0	16337	4450	5866	10264	4086	0	64572	28905
Lagg_297_N_220721_7262022_02.qgd	884	0	7679	4793	6050	5768	0	1157	0	903	894	0	34368	71490	106125	794	0	0	0	676	825	0	0	0	4691	9435	846	0	0	833	0	76901	23035	2219	5251	643	0	701	261	0	13243	0	5789	10373	35548	0	66370	0
Lagg_317_D_220721_7262022_18.qgd	0	0	8644	0	774	0	0	1484	0	1065	1001	0	33800	266701	61120	373	179	0	0	391	1210	0	0	0	0	4283	0	0	0	370	0	91366	2137	4726	3157	0	0	0	157	0	9960	0	5484	7650	10140	0	46510	1698
Lagg_317_N_220721_7282022_16.qgd	11943	0	498321	223777	315314	3384478	5682	2150	18844	16041	1058	0	84509	45429	86630	1774	2582	0	13471	39313	34033	703126	0	0	50244	110594	6931	0	1281	1042	10405	76380	90143	8290	34993	23776	11984	24656	46739	8852	24016	8126	7854	7515	22153	3021	35148	0
Lagg_320_D_220721_7262022_20.qgd	1521	0	524570	11719	1507	0	0	3354	0	0	1201	0	37756	23300	168418	1204	591	0	0	2567	1968	0	0	0	4596	5141	1365	273	0	0	0	113599	15919	2399	1513	0	0	0	206	0	7981	0	6891	13765	30188	0	39662	1160
Lagg_320_N_220721_7262022_07.qgd	6489	0	563026	94546	45168	510660	2454	2604	0	10409	2045	0	50202	43943	170955	751	947	929	0	4536	2649	55560	0	0	10056	13479	0	0	0	0	1202	99002	65525	6562	9731	4798	0	1879	7092	2539	16395	1620	9036	29924	44565	0	60020	0
Lagg_320_N_220721_7262022_26.qgd	2323	0	61680	16844	8530	91670	0	1095	0	0	1112	0	46493	17444	79544	1984	0	0	0	0	1828	0	0	0	2992	5675	0	0	0	963	0	86244	15369	1956	0	1869	0	724	1981	0	17025	776	6159	6945	29925	0	48344	336
Lagg_322_D_220721_7272022_12.qgd	0	0	5423	0	634	0	0	1778	0	679	1083	0	36815	125537	265031	1839	0	0	0	0	0	5153	0	0	0	609	0	0	0	0	0	103873	1974	1336	1298	0	0	0	246	403	6448	0	10287	19955	35512	0	54316	2449
Lagg_322_N_220721_7262022_06.qgd	8512	0	372570	49145	87231	1107334	1381	1192	4451	5241	1597	0	48966	40671	339580	3895	961	485	10023	15728	27403	433955	0	0	20290	17122	9446	0	0	0	4974	67129	16748	3512	5031	13418	8106	3901	19131	15118	14257	3550	12055	17548	35091	0	34543	1569
Lagg_323_D_220721_7282022_03.qgd	475	0	14898	0	1810	0	0	2024	0	540	758	0	17290	106415	41939	519	0	0	0	0	560	0	0	0	0	1973	221	0	0	0	287	83689	1977	1333	2486	0	0	0	0	0	12785	0	0	20103	247959	0	53800	0
Lagg_323_N_220721_7262022_22.qgd	0	0	77712	6043	9299	137561	0	911	2742	2045	1820	0	24333	28143	54556	584	0	0	0	0	4607	56497	33817	0	0	1062	0	0	0	251	0	40868	3444	3492	0	1652	881	2569	2227	0	7830	569	3757	13036	9310	0	52539	0
Lagg_325_D_220721_7262022_16.qgd	0	0	82549	11549	13920	0	0	1982	0	1140	772	0	29625	21385	71850	928	369	0	0	442	1210	0	10514	711	0	7968	0	0	0	0	260	89871	13140	2781	5153	273	0	0	0	0	23118	1101	5524	6668	5306	0	57480	0
Lagg_332_D_220721_7262022_07.qgd	16961	0	194200	127515	13383	38731	2363	2514	16458	8340	3645	943	43890	227443	227001	1339	3542	2310	0	233271	0	0	10887	0	111248	46239	45209	0	1811	0	71510	94481	116015	5757	18542	1825	0	3168	1664	2797	17976	1211	22498	19728	6214	0	49700	5239
Lagg_332_N_220721_7252022_16.qgd	2970	0	73158	15967	7907	66314	0	1255	0	1535	2178	0	35131	28014	105587	2330	0	2099	0	3480	0	9708	37489	0	10021	11821	0	0	0	1233	2084	82864	17045	3311	1552	837	0	1653	1820	0	31254	0	648	17135	61321	0	59528	0
Lagg_334_D_220721_7252022_13.qgd	0	0	99365	10746	20185	222102	0	1167	0	2088	1308	0	14689	23321	133473	568	0	0	0	1035	1807	9893	31290	0	125	1648	0	0	0	250	764	45817	3314	810	877	2780	1363	1338	3861	0	12620	897	5339	19035	47618	0	66507	0
