index,sequence.start,batch,Desorb.Start.Time,CreationTime,eithertime,status,Tube,markes_n,GC_n,either_n,markes_GC,create_desorb,desorb.Start.diff,Mixup,nameBlank,kBlank,Cluster,n_peaks,verdict,FileName,sample,user,FullName,id,fuzzy_n,sample2
5588,2022-08-06T10:10:11Z,PG_Ihyb_220806_1.txt,2022-08-07T02:22:31Z,2022-08-07T02:38:22Z,2022-08-07T02:22:31Z,Desorbed NA,,,,18,,,,,,,,,NA,NEXP1_agg18_N_220720_862022_18.qgd,NA,Janelle Bohey : Diane Campbell,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/NEXP1_agg18_N_220720_862022_18.qgd,d53f3b20-91eb-4382-95af-fb38667c3fbd,1,NEXP1_agg18_N_220720_862022_18.qgd
5589,2022-08-06T10:10:11Z,PG_Ihyb_220806_1.txt,2022-08-07T02:54:56Z,2022-08-07T03:10:40Z,2022-08-07T02:54:56Z,Desorbed NA,,,,19,,,,,,,,,NA,NEXP1_agg12n2_N_220720_862022_19.qgd,NA,Janelle Bohey : Diane Campbell,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/NEXP1_agg12n2_N_220720_862022_19.qgd,d53f3b20-91eb-4382-95af-fb38667c3fbd,1,NEXP1_agg12n2_N_220720_862022_19.qgd
5590,2022-08-06T10:10:11Z,PG_Ihyb_220806_1.txt,2022-08-07T03:27:44Z,2022-08-07T03:43:35Z,2022-08-07T03:27:44Z,Desorbed NA,,,,20,,,,,,,,,NA,NEXP1_agg12_N_220720_862022_20.qgd,NA,Janelle Bohey : Diane Campbell,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/NEXP1_agg12_N_220720_862022_20.qgd,d53f3b20-91eb-4382-95af-fb38667c3fbd,1,NEXP1_agg12_N_220720_862022_20.qgd
5591,2022-08-06T10:10:11Z,PG_Ihyb_220806_1.txt,2022-08-07T04:01:13Z,2022-08-07T04:16:03Z,2022-08-07T04:01:13Z,Desorbed NA,,,,21,,,,,,,,,NA,NEXP1_agg10n2_N_220720_862022_21.qgd,NA,Janelle Bohey : Diane Campbell,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/NEXP1_agg10n2_N_220720_862022_21.qgd,d53f3b20-91eb-4382-95af-fb38667c3fbd,1,NEXP1_agg10n2_N_220720_862022_21.qgd
5593,2022-08-06T10:10:11Z,PG_Ihyb_220806_1.txt,2022-08-07T05:04:06Z,2022-08-07T05:19:56Z,2022-08-07T05:04:06Z,Desorbed NA,,,,23,,,,,,,,,NA,NEXP1_ten16_N_220720_862022_23.qgd,NA,Janelle Bohey : Diane Campbell,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/NEXP1_ten16_N_220720_862022_23.qgd,d53f3b20-91eb-4382-95af-fb38667c3fbd,1,NEXP1_ten16_N_220720_862022_23.qgd
5594,2022-08-06T10:10:11Z,PG_Ihyb_220806_1.txt,2022-08-07T05:35:40Z,2022-08-07T05:51:32Z,2022-08-07T05:35:40Z,Desorbed NA,,,,24,,,,,,,,,NA,NEXP1_ten16n2_N_220720_862022_24.qgd,NA,Janelle Bohey : Diane Campbell,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/NEXP1_ten16n2_N_220720_862022_24.qgd,d53f3b20-91eb-4382-95af-fb38667c3fbd,1,NEXP1_ten16n2_N_220720_862022_24.qgd
5595,2022-08-06T10:10:11Z,PG_Ihyb_220806_1.txt,2022-08-07T06:06:59Z,2022-08-07T06:22:50Z,2022-08-07T06:06:59Z,Desorbed NA,,,,25,,,,,,,,,NA,NEXP1_agg9_N_220720_862022_25.qgd,NA,Janelle Bohey : Diane Campbell,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/NEXP1_agg9_N_220720_862022_25.qgd,d53f3b20-91eb-4382-95af-fb38667c3fbd,1,NEXP1_agg9_N_220720_862022_25.qgd
5596,2022-08-06T10:10:11Z,NA,NA,NA,NA,NA NA,,,,26,,,,,,,,,skip-notrun,NA,NEXP1_ten14n2_N_220720_862022_26.qgd,NA,NA,d53f3b20-91eb-4382-95af-fb38667c3fbd,1,NEXP1_ten14n2_N_220720_862022_26.qgd
5597,2022-08-06T10:10:11Z,PG_Ihyb_220806_1.txt,2022-08-07T06:38:10Z,2022-08-07T06:54:00Z,2022-08-07T06:38:10Z,Desorbed NA,,,,26,,,,,,,,,skip-rename,NEXP1_ten14n2_N_220720_862022_26.qgd,NEXP1_ten14_N_220720_862022_27.qgd,Janelle Bohey : Diane Campbell,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/NEXP1_ten14n2_N_220720_862022_26.qgd,d53f3b20-91eb-4382-95af-fb38667c3fbd,1,NEXP1_ten14_N_220720_862022_27.qgd
5598,2022-08-06T10:10:11Z,PG_Ihyb_220806_1.txt,2022-08-07T07:09:15Z,2022-08-07T07:25:07Z,2022-08-07T07:09:15Z,Desorbed NA,,,,27,,,,,,,,,skip-rename,NEXP1_ten14_N_220720_862022_27.qgd,NEXP1_ten5_N_220720_862022_28.qgd,Janelle Bohey : Diane Campbell,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/NEXP1_ten14_N_220720_862022_27.qgd,d53f3b20-91eb-4382-95af-fb38667c3fbd,1,NEXP1_ten5_N_220720_862022_28.qgd
