FileName,sample2,experiment,time,vial,sample_date,run_date,gc_sequence_number,.qgd,sequence.start,verdict,index,color2,date,color,plant,bag,pump,end,flowers,buds,pumpID,soil_moisture,height,notes
DEXP2_N_25_230724_redo_852023_12.qgd,DEXP2_N_25_230724redo_852023_12.qgd,DEXP2,N,25,230724redo,852023,12,qgd,2023-08-05T10:24:50Z,NA,1216,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_34_230724_852023_13.qgd,DEXP2_N_34_230724_852023_13.qgd,DEXP2,N,34,230724,852023,13,qgd,2023-08-05T10:24:50Z,NA,1217,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_41_230724_852023_15.qgd,DEXP2_N_21_230724_852023_17.qgd,DEXP2,N,21,230724,852023,17,qgd,2023-08-05T10:24:50Z,skip-rename,1221,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_50_230724_852023_16.qgd,DEXP2_N_22_230724_852023_18.qgd,DEXP2,N,22,230724,852023,18,qgd,2023-08-05T10:24:50Z,skip-rename,1222,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_21_230724_852023_17.qgd,DEXP2_N_31_230724_852023_19.qgd,DEXP2,N,31,230724,852023,19,qgd,2023-08-05T10:24:50Z,skip-rename,1223,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_22_230724_852023_18.qgd,DEXP2_N_42_230724_852023_20.qgd,DEXP2,N,42,230724,852023,20,qgd,2023-08-05T10:24:50Z,skip-rename,1224,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_91_230724_852023_02.qgd,DEXP2_N_91_230724_852023_02.qgd,DEXP2,N,91,230724,852023,02,qgd,2023-08-05T23:37:45Z,NA,1226,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_36_230724_852023_04.qgd,DEXP2_N_36_230724_852023_04.qgd,DEXP2,N,36,230724,852023,04,qgd,2023-08-05T23:37:45Z,NA,1228,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_35_230724_852023_05.qgd,DEXP2_N_35_230724_852023_05.qgd,DEXP2,N,35,230724,852023,05,qgd,2023-08-05T23:37:45Z,NA,1229,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_69_230724_852023_06.qgd,DEXP2_N_69_230724_852023_06.qgd,DEXP2,N,69,230724,852023,06,qgd,2023-08-05T23:37:45Z,NA,1230,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_70_230724_852023_08.qgd,DEXP2_N_70_230724_852023_08.qgd,DEXP2,N,70,230724,852023,08,qgd,2023-08-05T23:37:45Z,NA,1232,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_67_230724_852023_11.qgd,DEXP2_N_67_230724_852023_11.qgd,DEXP2,N,67,230724,852023,11,qgd,2023-08-05T23:37:45Z,NA,1235,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_110_230724_redo_852023_12.qgd,DEXP2_N_110_230724redo_852023_12.qgd,DEXP2,N,110,230724redo,852023,12,qgd,2023-08-05T23:37:45Z,NA,1236,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_41_230724_redo_852023_13.qgd,DEXP2_N_41_230724redo_852023_13.qgd,DEXP2,N,41,230724redo,852023,13,qgd,2023-08-05T23:37:45Z,NA,1237,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_52_230724_862023_02.qgd,DEXP2_N_52_230724_862023_02.qgd,DEXP2,N,52,230724,862023,02,qgd,2023-08-06T09:58:24Z,NA,1239,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_53_230724_862023_03.qgd,DEXP2_N_53_230724_862023_03.qgd,DEXP2,N,53,230724,862023,03,qgd,2023-08-06T09:58:24Z,NA,1240,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_54_230724_862023_04.qgd,DEXP2_N_54_230724_862023_04.qgd,DEXP2,N,54,230724,862023,04,qgd,2023-08-06T09:58:24Z,NA,1241,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_44_230724_862023_06.qgd,DEXP2_N_44_230724_862023_06.qgd,DEXP2,N,44,230724,862023,06,qgd,2023-08-06T09:58:24Z,NA,1243,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_45_230724_862023_07.qgd,DEXP2_N_45_230724_862023_07.qgd,DEXP2,N,45,230724,862023,07,qgd,2023-08-06T09:58:24Z,NA,1244,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_51_230724_862023_09.qgd,DEXP2_N_51_230724_862023_09.qgd,DEXP2,N,51,230724,862023,09,qgd,2023-08-06T09:58:24Z,NA,1246,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_68_230724_862023_10.qgd,DEXP2_N_68_230724_862023_10.qgd,DEXP2,N,68,230724,862023,10,qgd,2023-08-06T09:58:24Z,NA,1247,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_114_230724_862023_11.qgd,DEXP2_N_114_230724_862023_11.qgd,DEXP2,N,114,230724,862023,11,qgd,2023-08-06T09:58:24Z,NA,1248,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
NEXP2_D_451_230728_882023_02.qgd,NEXP2_D_451_230728_882023_02.qgd,NEXP2,D,451,230728,882023,02,qgd,2023-08-08T12:42:50Z,NA,1279,NA,2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
NEXP2_D_442_230728_882023_04.qgd,NEXP2_D_442_230728_882023_04.qgd,NEXP2,D,442,230728,882023,04,qgd,2023-08-08T12:42:50Z,NA,1281,NA,2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_43_230724_redo_882023_05.qgd,DEXP2_N_43_230724redo_882023_05.qgd,DEXP2,N,43,230724redo,882023,05,qgd,2023-08-08T12:42:50Z,NA,1282,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
NEXP2_D_445_230728_882023_08.qgd,NEXP2_D_445_230728_882023_08.qgd,NEXP2,D,445,230728,882023,08,qgd,2023-08-08T12:42:50Z,NA,1285,NA,2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
NEXP2_D_455_230728_882023_15.qgd,NEXP2_D_455_230728_882023_15.qgd,NEXP2,D,455,230728,882023,15,qgd,2023-08-08T12:42:50Z,NA,1292,NA,2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
NEXP2_D_456_230728_882023_21.qgd,NEXP2_D_456_230728_882023_21.qgd,NEXP2,D,456,230728,882023,21,qgd,2023-08-08T12:42:50Z,NA,1298,NA,2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
NEXP2_D_559_230728_882023_25.qgd,NEXP2_D_559_230728_882023_25.qgd,NEXP2,D,559,230728,882023,25,qgd,2023-08-08T12:42:50Z,NA,1302,NA,2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
NEXP2_D_239_230728_882023_27.qgd,NEXP2_D_239_230728_882023_27.qgd,NEXP2,D,239,230728,882023,27,qgd,2023-08-08T12:42:50Z,NA,1304,NA,2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
NEXP2_D_461_230728_8102023_11.qgd,NEXP2_D_461_230728_8102023_11.qgd,NEXP2,D,461,230728,8102023,11,qgd,2023-08-10T08:19:23Z,NA,1350,NA,2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
NEXP2_D_462_230728_8102023_16.qgd,NEXP2_D_462_230728_8102023_16.qgd,NEXP2,D,462,230728,8102023,16,qgd,2023-08-10T08:19:23Z,NA,1355,NA,2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
NEXP2_D_460_230729_8102023_17.qgd,NEXP2_D_460_230729_8102023_17.qgd,NEXP2,D,460,230729,8102023,17,qgd,2023-08-10T08:19:23Z,NA,1356,NA,2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
NEXP2_D_474_230730_8102023_18.qgd,NEXP2_D_474_230730_8102023_18.qgd,NEXP2,D,474,230730,8102023,18,qgd,2023-08-10T08:19:23Z,NA,1357,NA,2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
NEXP2_D_479_230731_8102023_19.qgd,NEXP2_D_479_230731_8102023_19.qgd,NEXP2,D,479,230731,8102023,19,qgd,2023-08-10T08:19:23Z,NA,1358,NA,2023-07-31,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
NEXP2_D_472_230732_8102023_20.qgd,NEXP2_D_472_230732_8102023_20.qgd,NEXP2,D,472,230731,8102023,20,qgd,2023-08-10T08:19:23Z,NA,1359,NA,2023-07-31,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
NEXP2_D_468_230731_redo3_8112023_05.qgd,NEXP2_D_468_230731redo3_8112023_05.qgd,NEXP2,D,468,230731,8112023,05,qgd,2023-08-11T08:46:13Z,NA,1384,NA,2023-07-31,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
NEXP2_D_477_230731_redo_8112023_09.qgd,NEXP2_D_477_230731redo_8112023_09.qgd,NEXP2,D,477,230731redo,8112023,09,qgd,2023-08-11T08:46:13Z,NA,1388,NA,2023-07-31,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
NEXP2_N_580_230731_8212023_15.qgd,NEXP2_N_580_230731_8212023_15.qgd,NEXP2,N,580,230731,8212023,15,qgd,2023-08-21T11:59:58Z,NA,1662,NA,2023-07-31,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
