date,site,plant,treatment,corolla_length,corolla_width,style_length,max_anther,min_anther,sepal_width,flyegg,notes
2022-07-14,Lagg,332,ambient,,,,,,,,not ready
2022-07-14,Lagg,568,nitrogen,26.6,,24.3,28.6,26.8,1.5,,
2022-07-14,Lagg,574,water control,,,,,,,,not ready
2022-07-14,Lagg,548,nitrogen,23.0,,26.2,27.5,23.6,1.3,,
2022-07-14,Lagg,281,ambient,28.3,,22.1,29.9,26.8,0.7,,
2022-07-14,Lagg,283,ambient,23.8,,24.2,24.9,22.6,,,
2022-07-14,Lagg,341,ambient,,,,,,,,not ready
2022-07-14,Lagg,537,ambient,26.3,,29.0,27.4,25.0,1.3,,
2022-07-14,Lagg,334,ambient,,,,,,,,not ready
2022-07-14,Lagg,566,nitrogen,29.1,,25.5,31.0,26.9,,,
2022-07-14,Lagg,563,ambient,,,,,,,,not ready
2022-07-14,Lagg,293,ambient,27.3,,25.3,26.2,25.0,1.5,,
2022-07-14,Lagg,2100,ambient,29.8,,28.7,31.3,29.2,1.4,,
2022-07-14,Lagg,562,water control,24.3,,26.1,25.1,21.7,1.5,,
2022-07-14,Lagg,297,ambient,24.1,,24.6,26.2,22.8,1.0,,
2022-07-14,Lagg,551,ambient,27.2,,27.7,27.4,24.0,1.8,,
2022-07-14,Lagg,585,nitrogen,30.9,,26.4,32.1,29.9,,,
2022-07-14,Lagg,554,ambient,28.0,,27.9,30.2,26.8,1.2,,
2022-07-14,Lagg,593,ambient,29.5,,26.7,29.1,26.2,0.9,,
2022-07-14,Lagg,584,water control,,,,,,,,not ready
2022-07-14,Lagg,325,ambient,25.9,,27.9,30.3,27.9,1.5,,
2022-07-14,Lagg,323,ambient,,,,,,,,not ready
2022-07-14,Lagg,532,ambient,,,,,,,,not ready; chomped; may also be 552 (difficult to read)
2022-07-14,Ihyb,726,nitrogen,31.7,,24.0,31.1,30.1,1.1,,could not read first straw; second straw not recovered
2022-07-14,Ihyb,712,water control,29.6,,23.9,28.0,25.9,1.0,,only one straw recovered
2022-07-14,Ihyb,715,nitrogen,33.2,,24.9,31.2,29.5,1.0,,
2022-07-14,Ihyb,314,ambient,28.2,,26.8,26.9,25.7,1.2,,
2022-07-14,Ihyb,713,water control,28.8,,23.3,28.4,25.5,0.8,,
2022-07-14,Ihyb,718,nitrogen,26.1,,23.1,24.3,21.8,1.4,,
2022-07-14,Ihyb,721,water control,31.4,,23.5,27.4,25.3,1.2,,no reading from either straw
2022-07-14,Ihyb,509,ambient,30.6,,25.6,26.4,25.0,1.0,,
2022-07-14,Ihyb,737,water control,31.8,,28.7,29.6,28.5,1.5,,flower fell out of second straw
2022-07-14,Ihyb,101,ambient,28.9,,22.8,28.6,25.9,1.2,,
2022-07-14,Ihyb,510,ambient,30.8,,21.3,27.0,25.6,1.4,,
2022-07-14,Ihyb,729,nitrogen,24.7,,22.6,23.8,22.1,1.3,,no reading for second straw
2022-07-14,Ihyb,701,nitrogen,34.8,,23.4,31.2,28.7,1.1,,no reading for second straw
2022-07-14,Ihyb,731,nitrogen,28.8,,25.3,23.1,21.3,1.2,,no reading for second straw
2022-07-14,Ihyb,706,nitrogen,31.0,,25.8,27.7,26.9,1.6,,no readings from either straw
2022-07-14,Ihyb,512,ambient,,,,,,,,not ready
2022-07-14,Ihyb,719,nitrogen,30.7,,25.0,28.0,27.1,1.6,,
2022-07-14,Ihyb,705,water control,23.1,,17.0,21.1,19.0,1.4,,
2022-07-14,Ihyb,797,nitrogen,33.9,,24.9,29.1,28.1,1.5,,
2022-07-14,Ihyb,707,water control,,,,,,,,not ready; second straw fell
