index,sequence.start,batch,Desorb.Start.Time,CreationTime,eithertime,status,Tube,markes_n,GC_n,either_n,markes_GC,create_desorb,desorb.Start.diff,Mixup,nameBlank,kBlank,Cluster,n_peaks,verdict,FileName,sample,user,FullName,id,fuzzy_n,sample2
5099,2022-07-26T13:16:22Z,PG_Lagg_220726a_1.txt,2022-07-26T20:51:35Z,2022-07-26T21:07:26Z,2022-07-26T20:51:35Z,Desorbed NA,,,,2,,,,,,,,,NA,Lagg_283_D_220721_7262022_02.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/Lagg_283_D_220721_7262022_02.qgd,2871620b-e81d-44e9-8f5f-4d3d6b8636d0,1,Lagg_283_D_220721_7262022_02.qgd
5100,2022-07-26T13:16:22Z,PG_Lagg_220726a_1.txt,2022-07-26T21:23:33Z,2022-07-26T21:39:27Z,2022-07-26T21:23:33Z,Desorbed NA,,,,3,,,,,,,,,NA,Lagg_562_D_220721_7262022_03.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/Lagg_562_D_220721_7262022_03.qgd,2871620b-e81d-44e9-8f5f-4d3d6b8636d0,1,Lagg_562_D_220721_7262022_03.qgd
5101,2022-07-26T13:16:22Z,PG_Lagg_220726a_1.txt,2022-07-26T21:55:46Z,2022-07-26T22:11:37Z,2022-07-26T21:55:46Z,Desorbed NA,,,,4,,,,,,,,,NA,Lagg_281_D_220721_7262022_04.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/Lagg_281_D_220721_7262022_04.qgd,2871620b-e81d-44e9-8f5f-4d3d6b8636d0,1,Lagg_281_D_220721_7262022_04.qgd
5102,2022-07-26T13:16:22Z,PG_Lagg_220726a_1.txt,2022-07-26T22:12:28Z,2022-07-26T22:44:04Z,2022-07-26T22:12:28Z,Desorbed NA,,,,5,,,,,,,,,NA,Lagg_574_D_220721_7262022_05.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/Lagg_574_D_220721_7262022_05.qgd,2871620b-e81d-44e9-8f5f-4d3d6b8636d0,1,Lagg_574_D_220721_7262022_05.qgd
5103,2022-07-26T13:16:22Z,PG_Lagg_220726a_1.txt,2022-07-26T23:00:57Z,2022-07-26T23:16:44Z,2022-07-26T23:00:57Z,Desorbed NA,,,,6,,,,,,,,,NA,Lagg_598_D_220721_7262022_06.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/Lagg_598_D_220721_7262022_06.qgd,2871620b-e81d-44e9-8f5f-4d3d6b8636d0,1,Lagg_598_D_220721_7262022_06.qgd
5104,2022-07-26T13:16:22Z,PG_Lagg_220726a_1.txt,2022-07-26T23:33:36Z,2022-07-26T23:49:24Z,2022-07-26T23:33:36Z,Desorbed NA,,,,7,,,,,,,,,NA,Lagg_332_D_220721_7262022_07.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/Lagg_332_D_220721_7262022_07.qgd,2871620b-e81d-44e9-8f5f-4d3d6b8636d0,1,Lagg_332_D_220721_7262022_07.qgd
5105,2022-07-26T13:16:22Z,PG_Lagg_220726a_1.txt,2022-07-27T00:05:33Z,2022-07-27T00:21:23Z,2022-07-27T00:05:33Z,Desorbed NA,,,,8,,,,,,,,,NA,Lagg_341_D_220721_7262022_08.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/Lagg_341_D_220721_7262022_08.qgd,2871620b-e81d-44e9-8f5f-4d3d6b8636d0,1,Lagg_341_D_220721_7262022_08.qgd
5106,2022-07-26T13:16:22Z,PG_Lagg_220726a_1.txt,2022-07-27T00:38:20Z,2022-07-27T00:53:58Z,2022-07-27T00:38:20Z,Desorbed NA,,,,9,,,,,,,,,NA,Lagg_337_D_220721_7262022_09.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/Lagg_337_D_220721_7262022_09.qgd,2871620b-e81d-44e9-8f5f-4d3d6b8636d0,1,Lagg_337_D_220721_7262022_09.qgd
5107,2022-07-26T13:16:22Z,PG_Lagg_220726a_1.txt,2022-07-27T01:10:22Z,2022-07-27T01:26:11Z,2022-07-27T01:10:22Z,Desorbed NA,,,,10,,,,,,,,,NA,Lagg_334_D_220721_7262022_10.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/Lagg_334_D_220721_7262022_10.qgd,2871620b-e81d-44e9-8f5f-4d3d6b8636d0,1,Lagg_334_D_220721_7262022_10.qgd
5108,2022-07-26T18:50:54Z,PG_Lagg_220726a_2.txt,2022-07-27T01:55:37Z,2022-07-27T02:05:52Z,2022-07-27T01:55:37Z,Desorbed NA,,,,1,,,,,,,,,NA,Lagg_541_N_220721_7262022_01.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/Lagg_541_N_220721_7262022_01.qgd,c1fbdccf-ce43-4b38-a98f-8a9799542763,1,Lagg_541_N_220721_7262022_01.qgd
5109,2022-07-26T18:50:54Z,PG_Lagg_220726a_2.txt,2022-07-27T02:26:05Z,2022-07-27T02:41:55Z,2022-07-27T02:26:05Z,Desorbed NA,,,,2,,,,,,,,,NA,Lagg_297_N_220721_7262022_02.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/Lagg_297_N_220721_7262022_02.qgd,c1fbdccf-ce43-4b38-a98f-8a9799542763,1,Lagg_297_N_220721_7262022_02.qgd
5110,2022-07-26T18:50:54Z,PG_Lagg_220726a_2.txt,2022-07-27T02:57:50Z,2022-07-27T03:13:41Z,2022-07-27T02:57:50Z,Desorbed NA,,,,3,,,,,,,,,NA,Lagg_562_N_220721_7262022_03.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/Lagg_562_N_220721_7262022_03.qgd,c1fbdccf-ce43-4b38-a98f-8a9799542763,1,Lagg_562_N_220721_7262022_03.qgd
5111,2022-07-26T18:50:54Z,PG_Lagg_220726a_2.txt,2022-07-27T03:29:33Z,2022-07-27T03:45:22Z,2022-07-27T03:29:33Z,Desorbed NA,,,,4,,,,,,,,,NA,Lagg_2100_N_220721_7262022_04.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/Lagg_2100_N_220721_7262022_04.qgd,c1fbdccf-ce43-4b38-a98f-8a9799542763,1,Lagg_2100_N_220721_7262022_04.qgd
5112,2022-07-26T18:50:54Z,PG_Lagg_220726a_2.txt,2022-07-27T04:01:03Z,2022-07-27T04:16:42Z,2022-07-27T04:01:03Z,Desorbed NA,,,,5,,,,,,,,,NA,Lagg_293_N_220721_7262022_05.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/Lagg_293_N_220721_7262022_05.qgd,c1fbdccf-ce43-4b38-a98f-8a9799542763,1,Lagg_293_N_220721_7262022_05.qgd
5113,2022-07-26T18:50:54Z,PG_Lagg_220726a_2.txt,2022-07-27T04:32:15Z,2022-07-27T04:47:54Z,2022-07-27T04:32:15Z,Desorbed NA,,,,6,,,,,,,,,NA,Lagg_322_N_220721_7262022_06.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/Lagg_322_N_220721_7262022_06.qgd,c1fbdccf-ce43-4b38-a98f-8a9799542763,1,Lagg_322_N_220721_7262022_06.qgd
