time,species,name,high,low,HighLowRatio,term,df,sumsq,meansq,statistic,p.value,significant
D,agg,(E)-hex-2-enal,8973.051497584542,2452.3035666563883,27.329649978232318,time,1,13461266.078183234,13461266.078183234,0.3360486361746576,0.565540317542329,FALSE
D,agg,a-pinene,448136.3597584541,243620.18184118185,54.36295817917862,time,1,41818752190.02264,41818752190.02264,0.5484731091746216,0.463494062096109,FALSE
D,agg,b-myrcene,75471.17497584541,49082.071116169616,65.03419501800305,time,1,17932213580.9425,17932213580.9425,5.206255217519549,0.0281953753663663,TRUE
D,agg,(Z)-b-ocimene,11255.227415458938,8490.03847693527,75.43195853399008,time,1,142846280047.6408,142846280047.6408,22.705912006218746,2.757981212447513e-5,TRUE
D,agg,(E)-b-ocimene,44071.90927536232,28629.608789465707,64.96112662282735,time,1,22735056501322.88,22735056501322.88,22.2578156323708,3.192543823608713e-5,TRUE
D,agg,g-terpinene,7136.785144927536,6745.431564726111,94.51638837019523,time,1,246629272.5346845,246629272.5346845,2.8844904035539263,0.09761157474712832,FALSE
D,agg,methyl benzoate,2909.4239371980675,2960.2383746288674,101.746546344832,time,1,11370471.95883073,11370471.95883073,5.47001844252681,0.024705657706363723,TRUE
D,agg,linalool,3487.911111111111,120.2,3.446188740793598,time,1,342119843.0929642,342119843.0929642,2.155799062718313,0.1502621952075656,FALSE
D,agg,"(3E)-4,8-dimethylnona-1,3,7-triene",2341.911690821256,2761.1780073901023,117.90273810118856,time,1,4170791.7846674803,4170791.7846674803,0.42905047795687634,0.5164009838147332,FALSE
D,agg,2-methylbenzonitrile,1685.736304347826,1755.498569705902,104.1383854152127,time,1,1452034.7954106173,1452034.7954106173,2.1830420857898503,0.14777928130307957,FALSE
D,agg,a-campholenal,2436.359420289855,1306.8641414141414,53.640038925728916,time,1,7690296.410417851,7690296.410417851,1.3283228364336013,0.256302792782847,FALSE
D,agg,indole,6365.64154589372,2239.4437502781466,35.18017365779484,time,1,194918308.31083313,194918308.31083313,0.8933191076773824,0.3505507947748324,FALSE
D,agg,a-copaene,1429.0910144927536,1054.7792291001392,73.80770142722687,time,1,378846.3724781482,378846.3724781482,0.21652530168838252,0.6443561242191022,FALSE
D,agg,petasitene,94.42222222222222,139.54097356544165,147.7840388431366,time,1,1719673.0815072446,1719673.0815072446,1.6031947824947377,0.21315832456826803,FALSE
D,agg,trans-a-bergamotene,1225.3019323671497,699.3803742436992,57.07820707444512,time,1,1469613019.1667566,1469613019.1667566,9.302890616199779,0.004155301611509429,TRUE
D,agg,b-caryophyllene,6476.955555555556,1985.0350032055135,30.647655154941827,time,1,4394968.922555333,4394968.922555333,0.13386041510090133,0.716491520114791,FALSE
D,agg,trans-b-bergamotene,5536.8062801932365,5351.658828821937,96.6560605157232,time,1,9817610499.44187,9817610499.44187,13.56817052499248,7.132729008696199e-4,TRUE
D,agg,a-farnesene,17168.223285024156,3844.2421845574386,22.391613393744546,time,1,4930099932629.297,4930099932629.297,14.122756081379846,5.748242566562036e-4,TRUE
D,agg,pseudoionone,7682.202777777778,19809.520531400965,257.8625051229284,time,1,1237469187.7753122,1237469187.7753122,4.254130048054452,0.0460389076215994,TRUE
D,agg,(E)-hex-3-en-1-ol,12958.291014492754,1969.3844975175484,15.197872121524036,time,1,74117309.55847494,74117309.55847494,0.27632409010756215,0.6021750282477536,FALSE
D,agg,[(E)-hex-3-enyl] acetate,3797.8088888888888,1085.0427781871776,28.57023114990456,time,1,1749896.8689569454,1749896.8689569454,0.030588252266020112,0.8620907164722188,FALSE
D,agg,[(E)-hex-3-enyl] butanoate,372.0695652173913,573.8160447511221,154.2227847676429,time,1,3169131.6386246434,3169131.6386246434,1.0079727521110509,0.3217395788828944,FALSE
D,agg,[(Z)-hex-3-enyl] butanoate,222.6222222222222,0,0,time,1,567.8386946019991,567.8386946019991,0.0034602955503582667,0.9534003344480941,FALSE
D,agg,a-terpineol,1033.8329710144928,436.23055555555555,42.1954578530694,time,1,59543.76535201906,59543.76535201906,0.08062973591901712,0.7779873314812661,FALSE
D,agg,cis-a-bergamotene,6697.315845410628,1929.4329838547599,28.809048705339386,time,1,12620018.740718303,12620018.740718303,0.639444677957372,0.42888253758358874,FALSE
D,agg,"(1Z,4Z,7Z)-1,5,9,9-tetramethylcycloundeca-1,4,7-triene",2782.951111111111,867.7111111111111,31.179531241016733,time,1,2609997.84698662,2609997.84698662,0.28140563918353767,0.598868010275909,FALSE
D,agg,(E)-4-oxohex-2-enal,14064.269758454106,3799.4336752692893,27.014795225933646,time,1,144790134.7870533,144790134.7870533,1.4555114268555533,0.23510312879735984,FALSE
D,agg,"p-mentha-1,3,8-triene",1043.2444444444443,961.9005982463751,92.20280092252138,time,1,2690472317.8911076,2690472317.8911076,27.976552499034725,5.361170592247786e-6,TRUE
D,agg,"tricyclo[5.2.1.02,6]dec-2-ene",194.53333333333333,225.46666666666664,115.90130226182316,time,1,175353764.45908788,175353764.45908788,12.215212368667945,0.001222116148022666,TRUE
D,agg,cosmene,2432.1101449275366,2497.3716620413197,102.68332901163602,time,1,596311213.8326048,596311213.8326048,11.889968073239336,0.0013947246239414371,TRUE
D,agg,"(4E,6Z)-alloocimene",1377.7118599033815,1028.2549100975416,74.6349755724432,time,1,6430577435.509031,6430577435.509031,22.472989453017203,2.9754878741246137e-5,TRUE
D,agg,"Tricyclo[3.1.0.0(2,4)]hexane, 3,6-diethyl-3,6-dimethyl-, trans-",1019.2081400966183,503.34279661016944,49.38567274025636,time,1,3224809612.9609346,3224809612.9609346,8.438691966704047,0.006092126860210771,TRUE
