time,species,name,high,low,HighLowRatio,term,df,sumsq,meansq,statistic,p.value,significant
D,agg,b-myrcene,75471.17497584541,49082.071116169616,65.03419501800305,treatment,1,3481924012.5837793,3481924012.5837793,1.7025658184208883,0.20838893970214734,FALSE
D,agg,(E)-b-ocimene,44071.90927536232,28629.608789465707,64.96112662282735,treatment,1,1192323221.4836142,1192323221.4836142,0.35362985097596145,0.5594671702425582,FALSE
D,agg,a-pinene,448136.3597584541,243620.18184118188,54.362958179178634,treatment,1,209134335149.44675,209134335149.44675,2.7388321591049953,0.11526733773233164,FALSE
D,agg,(E)-4-oxohex-2-enal,14064.269758454107,3799.4336752692893,27.01479522593364,treatment,1,526834299.07326514,526834299.07326514,5.404313579456279,0.03198433806412982,TRUE
D,agg,(E)-hex-2-enal,8973.051497584542,2452.3035666563883,27.329649978232318,treatment,1,212600767.89351892,212600767.89351892,7.304721556027606,0.014567111592200562,TRUE
D,agg,"(4E,6Z)-alloocimene",1377.7118599033818,1028.2549100975416,74.63497557244318,treatment,1,610600.7988380069,610600.7988380069,0.2125212284691415,0.6503198953090972,FALSE
D,agg,cosmene,2432.1101449275366,2497.3716620413197,102.68332901163602,treatment,1,21295.32807996333,21295.32807996333,0.004636265811746953,0.9464645615236985,FALSE
D,agg,verbenone,1685.231763285024,906.8560443844835,53.81194825195723,treatment,1,3029343.7988696666,3029343.7988696666,4.721995925560809,0.04337451177020158,TRUE
D,agg,b-caryophyllene,6476.955555555556,1985.0350032055135,30.647655154941827,treatment,1,100886751.24312353,100886751.24312353,2.82426379360984,0.11012014362650407,FALSE
D,agg,linalool,3487.911111111111,120.19999999999999,3.446188740793598,treatment,1,56707390.639506176,56707390.639506176,1.1992393393657648,0.2879111011617901,FALSE
D,agg,(Z)-b-ocimene,11255.227415458938,8490.03847693527,75.43195853399008,treatment,1,38231349.32866829,38231349.32866829,0.4701168872044662,0.5016695089642302,FALSE
D,agg,a-farnesene,17168.223285024156,3844.2421845574386,22.391613393744546,treatment,1,887642361.8279711,887642361.8279711,5.159023118473591,0.03563141565679882,TRUE
D,agg,"p-mentha-1,3,8-triene",1043.2444444444443,961.9005982463751,92.20280092252138,treatment,1,33084.10657147578,33084.10657147578,0.013381435645294966,0.909188376692856,FALSE
D,agg,3-Furaldehyde,177064.60850241545,181703.96951405826,102.62015150903491,treatment,1,107618352.98175967,107618352.98175967,5.27161338554714e-4,0.9819347995040366,FALSE
D,agg,"tricyclo[5.2.1.02,6]dec-2-ene",194.53333333333333,225.4666666666666,115.90130226182313,treatment,1,4784.355555555561,4784.355555555561,0.013558859770025395,0.9085911711801904,FALSE
D,agg,"Tricyclo[3.1.0.0(2,4)]hexane, 3,6-diethyl-3,6-dimethyl-, trans-",1019.2081400966183,503.3427966101695,49.38567274025637,treatment,1,1330585.2630519602,1330585.2630519602,1.049882232245762,0.3191081806551802,FALSE
D,agg,"(3E)-4,8-dimethylnona-1,3,7-triene",2341.911690821256,2761.1780073901023,117.90273810118856,treatment,1,878921.2210460408,878921.2210460408,0.05116053607815026,0.823604574203109,FALSE
D,agg,2-Decanone,8673.92572463768,9368.247122972462,108.00469614770402,treatment,1,2410411.0209278264,2410411.0209278264,0.13347530039319502,0.7191133492331118,FALSE
D,agg,D-limonene,94379.38128019324,66838.0544413189,70.81849185140373,treatment,1,3792623420.228496,3792623420.228496,1.2835840774199518,0.27209979018804364,FALSE
D,agg,a-terpineol,1033.8329710144928,436.23055555555555,42.1954578530694,treatment,1,1785643.234811781,1785643.234811781,2.862705400017387,0.10789354986397243,FALSE
D,agg,"3-ethenyl-1,2-dimethylcyclohexa-1,4-diene",2370.5466666666666,1180.3352703725507,49.791690961826696,treatment,1,7083015.839341942,7083015.839341942,8.669164057369839,0.008672285856425387,TRUE
D,agg,"Benzenebutanoic acid, .gamma.-oxo-",52933.60915458937,39390.9956334025,74.41585084131236,treatment,1,917011904.9211686,917011904.9211686,0.5743576983051499,0.458340401799188,FALSE
D,agg,(E)-hex-3-en-1-ol,12958.291014492754,1969.3844975175484,15.197872121524036,treatment,1,603780332.1941009,603780332.1941009,9.640490909551023,0.006113245254341223,TRUE
D,agg,"2,6-Octadienal, 3,7-dimethyl-, (E)-",385.77777777777783,892.890404040404,231.45200565563462,treatment,1,1285816.0785748898,1285816.0785748898,0.6081656199242012,0.4456132057473565,FALSE
D,agg,indole,6365.641545893719,2239.4437502781466,35.180173657794846,treatment,1,85127541.24271403,85127541.24271403,1.1599643063659633,0.29569643413732805,FALSE
D,ten,b-myrcene,35198.52834960071,52368.404594225736,148.7800969236255,treatment,1,1396443080.1587625,1396443080.1587625,0.9796870422897004,0.3361558183039587,FALSE
D,ten,(E)-b-ocimene,32932.454415976536,35052.503689713456,106.43756838454294,treatment,1,21290252.79350106,21290252.79350106,0.009218126885666549,0.9246345178254902,FALSE
D,ten,a-pinene,173542.02777901015,199320.59139799682,114.85436349275192,treatment,1,3147794252.801724,3147794252.801724,0.3563357561912456,0.55841546843032,FALSE
D,ten,(E)-4-oxohex-2-enal,3350.222859730849,1686.268921095008,50.333037284286206,treatment,1,13115097.046902917,13115097.046902917,1.023109344850564,0.32596350706567356,FALSE
D,ten,(E)-hex-2-enal,1784.997728605935,2217.4354535695115,124.22623390682442,treatment,1,885800.7756552973,885800.7756552973,0.15776497678278759,0.6961651404631841,FALSE
D,ten,"(4E,6Z)-alloocimene",857.7588888888889,1030.1810674843823,120.1014738324476,treatment,1,140823.5100234454,140823.5100234454,0.1861945671642161,0.6715253572613737,FALSE
