species,name,D,N,NighttoDayRatio,term,df,sumsq,meansq,statistic,p.value,significant
agg,b-myrcene,62276.62304600751,104623.06750235178,167.99733573392442,time,1,17932213580.942528,17932213580.942528,5.206255217519557,0.028195375366366168,TRUE
agg,(E)-b-ocimene,36350.75903241401,1544165.61840086,4247.959766187897,time,1,22735056501322.88,22735056501322.88,22.257815632370797,3.192543823608713e-5,TRUE
agg,a-pinene,345878.270799818,281210.85072601057,81.30341639436651,time,1,41818752190.02266,41818752190.02266,0.5484731091746218,0.46349406209610866,FALSE
agg,(E)-4-oxohex-2-enal,8931.851716861698,5126.721827001782,57.39819680753848,time,1,144790134.7870532,144790134.7870532,1.4555114268555527,0.23510312879735992,FALSE
agg,(E)-hex-2-enal,5712.677532120465,4552.450568195593,79.69031233775571,time,1,13461266.07818323,13461266.07818323,0.3360486361746575,0.565540317542329,FALSE
agg,"(4E,6Z)-alloocimene",1202.9833850004616,26561.566617328386,2207.9745197244097,time,1,6430577435.509027,6430577435.509027,22.472989453017185,2.9754878741246306e-5,TRUE
agg,cosmene,2464.740903484428,10186.859873253055,413.3034778159357,time,1,596311213.8326049,596311213.8326049,11.88996807323934,0.001394724623941433,TRUE
agg,verbenone,1296.0439038347538,1673.311887597069,129.10919781699133,time,1,1423311.3157208252,1423311.3157208252,0.5243709676413248,0.47341799248511984,FALSE
agg,b-caryophyllene,4230.995279380535,4893.940897252418,115.66878651703307,time,1,4394968.922555333,4394968.922555333,0.13386041510090133,0.716491520114791,FALSE
agg,linalool,1804.0555555555557,7653.156709518995,424.21956940024603,time,1,342119843.0929645,342119843.0929645,2.1557990627183146,0.1502621952075654,FALSE
agg,(Z)-b-ocimene,9872.632946197104,129390.94955400449,1310.6022502725104,time,1,142846280047.6408,142846280047.6408,22.70591200621874,2.757981212447513e-5,TRUE
agg,a-farnesene,10506.232734790796,712652.9362540267,6783.144389083604,time,1,4930099932629.295,4930099932629.295,14.12275608137984,5.748242566562049e-4,TRUE
agg,"p-mentha-1,3,8-triene",1002.5725213454098,17405.231811506597,1736.0571371085966,time,1,2690472317.891109,2690472317.891109,27.976552499034735,5.361170592247776e-6,TRUE
agg,3-Furaldehyde,179384.28900823684,28909.44115622954,16.115927050279243,time,1,226426798360.84753,226426798360.84753,2.3393097653011696,0.13442815423131574,FALSE
agg,"tricyclo[5.2.1.02,6]dec-2-ene",210,4397.526291966271,2094.0601390315574,time,1,175353764.45908797,175353764.45908797,12.21521236866795,0.0012221161480226613,TRUE
agg,"Tricyclo[3.1.0.0(2,4)]hexane, 3,6-diethyl-3,6-dimethyl-, trans-",761.275468353394,18719.030375247894,2458.9036627879723,time,1,3224809612.9609356,3224809612.9609356,8.438691966704049,0.0060921268602107635,TRUE
agg,"(3E)-4,8-dimethylnona-1,3,7-triene",2551.544849105679,1905.7281735182892,74.6891897348483,time,1,4170791.7846674765,4170791.7846674765,0.42905047795687595,0.5164009838147334,FALSE
agg,2-Decanone,9021.08642380507,11030.987201208496,122.28003017574079,time,1,40397011.350068904,40397011.350068904,1.9900893253445633,0.16646593650252922,FALSE
agg,D-limonene,80608.71786075606,67403.7226340879,83.61840309942835,time,1,1743718989.3632908,1743718989.3632908,0.743014886961293,0.39410398966855653,FALSE
agg,a-terpineol,735.0317632850241,812.1963700370964,110.49813227216279,time,1,59543.765352019196,59543.765352019196,0.08062973591901727,0.7779873314812659,FALSE
agg,"3-ethenyl-1,2-dimethylcyclohexa-1,4-diene",1775.4409685196088,5006.702559580953,281.99769231165266,time,1,104410514.69868283,104410514.69868283,13.328296386906086,7.837342454001271e-4,TRUE
agg,"Benzenebutanoic acid, .gamma.-oxo-",46162.30239399593,81889.46109393433,177.39466371284206,time,1,12764298687.705843,12764298687.705843,3.452526561203968,0.07091535593204823,FALSE
agg,(E)-hex-3-en-1-ol,7463.837756005151,10186.287196462677,136.47519586377845,time,1,74117309.55847497,74117309.55847497,0.2763240901075622,0.6021750282477535,FALSE
agg,"2,6-Octadienal, 3,7-dimethyl-, (E)-",639.3340909090908,1477.938217157573,231.1683731827975,time,1,7032568.805609798,7032568.805609798,1.7122692048947523,0.19855058791961805,FALSE
agg,indole,4302.542648085933,8717.498008118844,202.6127041877664,time,1,194918308.31083333,194918308.31083333,0.8933191076773833,0.3505507947748321,FALSE
ten,b-myrcene,43331.62762337046,93488.2179524659,215.750533917272,time,1,24511788469.42233,24511788469.42233,7.124962027734364,0.011221953597814742,TRUE
ten,(E)-b-ocimene,33936.6882824835,1164181.1219534085,3430.4499963666267,time,1,12446972880532.354,12446972880532.354,16.625095721028323,2.3202928538595488e-4,TRUE
ten,a-pinene,185752.92633537226,365277.6383318548,196.6470437576607,time,1,314027344682.554,314027344682.554,1.98917492838911,0.16677929270539066,FALSE
ten,(E)-4-oxohex-2-enal,2562.0341519559765,2838.1056808099397,110.77548199906693,time,1,742612.4573495007,742612.4573495007,0.06602805731048664,0.7986338111105188,FALSE
ten,(E)-hex-2-enal,1989.8366509571028,2758.293114001691,138.61907271006208,time,1,5753836.603233316,5753836.603233316,0.6353515738010223,0.4304846310059085,FALSE
ten,"(4E,6Z)-alloocimene",939.4325524341226,19710.410721441094,2098.11877078033,time,1,3433150157.4386625,3433150157.4386625,14.813859617373943,4.5371849438239893e-4,TRUE
ten,cosmene,3001.7885835188385,7844.120470636847,261.31488785401393,time,1,228469427.68974218,228469427.68974218,11.137896913785987,0.0019364458552843344,TRUE
