species,name,D,N,NighttoDayRatio,term,df,sumsq,meansq,statistic,p.value,significant
Ihyb,b-myrcene,14263.233968187555,87004.05465625113,609.988273699382,time,1,65122793776.89865,65122793776.89865,17.844490603085877,1.013275204229657e-4,TRUE
Ihyb,(E)-b-ocimene,14637.657176802502,1429623.9855532863,9766.75412113715,time,1,24642293039905.98,24642293039905.98,33.47716252937961,4.699356591022088e-7,TRUE
Ihyb,a-pinene,223346.30232574884,349708.9803176469,156.57701814449524,time,1,196523401714.26602,196523401714.26602,2.7217867315795488,0.10525636483429289,FALSE
Ihyb,(E)-4-oxohex-2-enal,8365.338303178058,6343.341835092082,75.82887392231581,time,1,50319627.28556535,50319627.28556535,0.4671586926927404,0.4974525038417096,FALSE
Ihyb,(E)-hex-2-enal,3614.3410833003218,4032.8161255054993,111.57818347965822,time,1,2155339.8270599972,2155339.8270599972,0.12379515780066125,0.7264328116656062,FALSE
Ihyb,"(4E,6Z)-alloocimene",588.4168754409263,24395.138948248394,4145.893832492152,time,1,6975507887.407972,6975507887.407972,29.297764112535823,1.7617685049467712e-6,TRUE
Ihyb,verbenone,538.7422340425532,1207.7202631182024,224.17404591725574,time,1,5508081.272442339,5508081.272442339,3.889521655960266,0.05413216550832363,FALSE
Ihyb,b-caryophyllene,22474.33879442906,33526.55699183941,149.17705610164592,time,1,1503403410.254375,1503403410.254375,0.24920284174205282,0.6198264120604846,FALSE
Ihyb,linalool,882.5223958333332,9377.792122168765,1062.6123672831739,time,1,888241325.8238922,888241325.8238922,15.274128773113071,2.801011638096872e-4,TRUE
Ihyb,(Z)-b-ocimene,5675.007610047995,135219.61209814483,2382.7212470821914,time,1,206545286793.56836,206545286793.56836,33.48141953211453,4.693205792388312e-7,TRUE
Ihyb,a-farnesene,17894.643640259896,621380.2289938214,3472.4370123572726,time,1,4482398175132.68,4482398175132.68,34.37278721649727,3.5730794074065266e-7,TRUE
Ihyb,3-Furaldehyde,16657.460691819575,21530.87009076568,129.25661653423214,time,1,292309159.0121375,292309159.0121375,4.595140079840172,0.036950837798572694,TRUE
Ihyb,"Tricyclo[3.1.0.0(2,4)]hexane, 3,6-diethyl-3,6-dimethyl-, trans-",3663.6369905373112,14426.522989584799,393.77599436970957,time,1,1425719569.5814443,1425719569.5814443,11.94929492614807,0.001124796777516506,TRUE
Ihyb,"(3E)-4,8-dimethylnona-1,3,7-triene",4306.617472367458,4216.100529517304,97.89818939269769,time,1,100840.82391308706,100840.82391308706,0.003641692361342999,0.9521202838101068,FALSE
Ihyb,2-Decanone,9723.703712101817,10268.882437501847,105.60669824525317,time,1,3658090.3708160417,3658090.3708160417,0.1068188455176864,0.7451596091148159,FALSE
Ihyb,D-limonene,27109.642011722783,37583.02139883341,138.63341088230422,time,1,1350051394.2935805,1350051394.2935805,0.7970042551331842,0.376267277487773,FALSE
Ihyb,a-terpineol,541.8808510638298,1501.9871705784083,277.18033726965643,time,1,11345281.78180713,11345281.78180713,0.7160322168527288,0.40148020901699,FALSE
Ihyb,"Benzenebutanoic acid, .gamma.-oxo-",40191.7761159953,75174.22175659823,187.03881495468625,time,1,15061803113.81832,15061803113.81832,3.496216601286464,0.06737003200660262,FALSE
Ihyb,(E)-hex-3-en-1-ol,14388.788345714162,16441.938427787954,114.2690964155112,time,1,51882157.04024068,51882157.04024068,0.029307977336609742,0.8647608183932771,FALSE
Ihyb,"2,6-Octadienal, 3,7-dimethyl-, (E)-",302.6666666666667,3647.6044271744345,1205.155647744857,time,1,137705952.26671654,137705952.26671654,5.062469197648581,0.028881294106147613,TRUE
Ihyb,indole,2617.145810336986,3745.5000121011444,143.1139219415089,time,1,15669947.134016387,15669947.134016387,3.1387772554626845,0.082545177499011,FALSE
Ihyb,monoterpene A,122.19577569169961,5613.555115777963,4593.902763006296,time,1,371138798.79326344,371138798.79326344,24.477366784580536,8.909754184111249e-6,TRUE
Ihyb,monoterpene B,499.7407363850111,4725.836870133801,945.6577233065335,time,1,219814012.6976797,219814012.6976797,31.990215182236394,7.45814964884495e-7,TRUE
Ihyb,monoterpene C,1234.5040394682437,11727.46291848233,949.9736366625317,time,1,1355103828.1437593,1355103828.1437593,26.927688365567054,3.855203179432654e-6,TRUE
Ihyb,monoterpene D,684.0787818668791,15480.183982513501,2262.92415330694,time,1,2694458204.413561,2694458204.413561,36.05020809323502,2.1564302497170103e-7,TRUE
Lagg,b-myrcene,33812.07057779333,65558.81109707624,193.8917374085133,time,1,18389911928.129295,18389911928.129295,3.8521265310941777,0.05360194716442071,FALSE
Lagg,(E)-b-ocimene,16610.769806902186,1049031.884750383,6315.371875868656,time,1,19448903474384.605,19448903474384.605,30.97882256533104,4.3485611225706576e-7,TRUE
Lagg,a-pinene,329608.67267711746,251966.0719149217,76.44400551369776,time,1,109997170404.83305,109997170404.83305,0.6017833194729788,0.4404747704177612,FALSE
Lagg,(E)-4-oxohex-2-enal,24856.88992924469,6531.490650894752,26.27637918294157,time,1,6127569652.095652,6127569652.095652,5.025379740938404,0.0281048478549702,TRUE
Lagg,(E)-hex-2-enal,11540.185839771317,3278.7794228943676,28.4118424817268,time,1,1245344020.9832091,1245344020.9832091,4.953817394065338,0.029209477752860463,TRUE
Lagg,"(4E,6Z)-alloocimene",734.8625013542683,15625.396714924904,2126.3020886395852,time,1,4045776824.7735534,4045776824.7735534,25.603029252061862,3.165436750970206e-6,TRUE
Lagg,verbenone,1219.9899654974122,958.3483078073086,78.55378608926283,time,1,1249094.0763796638,1249094.0763796638,0.22219570504121414,0.6388172318296065,FALSE
